,Song_name,pearl-jam
66,hard to imagine   ,"""Hard to Imagine"", ""Paint a picture, using only gray Light your pillow, lay back, watch the flames I tell a story, no one listen that long It's hard to imagine, it's hard to imagine... Ooh... (3x)"", ""Tear into yourself cuttings on your arm Heart-a-beatin', tickin' like a bomb After having seen all that they saw It's hard to imagine, it's hard to imagine... Ooh... (3x)"", ""Oh... Things were different then, all is different now } (2x) I tried to explain, somehow... } Ooh... oh... (4x)"", ""Ohh... Things were different then, all is different now OBI tried to explain, I hope this works somehow... Things were different then, all is different now I tried to explain, oh, somehow... Ooh... oh... (4x)"""
67,meaningless   ,"""Free the people, oh... got your love, whoa... (X2)"", ""Shower the people you love with love Show them the way that you feel (X2)"", ""I'm special...'cause I'm gonna make you see Nobody loves you, nobody like me I'm special, so special I got to have some of your attention, give it to me 'Cause I'm... I'll kick the fuck out of you"", ""Peaceful times have come and gone It's time to fuckin' kill somebody I try, don't blame me I try, peacefully That time has come and gone, now it's just me Just me... this means nothin' no more This don't mean nothin' no more I don't want to see this no more Unless you're ready,'less you're ready, to stand behind it... I don't give a fuck Let the words that you say to me Unless the actions sustain it It's meaningless... We're all meaningless"", ""The world will go on And we're all meaningless The world will spin We're all meaningless I refuse, I refuse, to believe We're meaningless, meaningless We're meaningless, I refuse... I won't give up, yeah... Meaningless... we're not meaningless We're not invisible... we're not meaningless If you love someone, tell 'em Show them the way that you feel Shower the people you love with love Show them the way that you feel (X3) Oh..."""
68,aye davanita   ,
69,mystery   ,"""Yes, it's true... shining wine... Go on leave with the morning light My love, on the wing at night she rides Fade away where the sun cleared out"", ""Yeah... fade away..."", ""Little time in this life... sometime it seems... Twilight world, dark, living dream Feel how... say no more, but stay, yeah... The love you are, always... yeah..."", ""Feel the motion with this song... Like a river churnin', pullin'... Ohh... fade away..."", ""You said, \""where have you been for a hundred years?\"" Out in the sky... you fell beneath... Turnin' down a road... leads I know not where Forever turnin' back, yeah..."", ""Feel the motion with this song... Like a river churnin', pullin'... Feel the motion with this song... Like a river... like an..."""
70,getaway   ,"""Everyone's a critic looking back up the river Every boat is leaking in this town Everybody is thinking they can all be delivered Sitting in a box like lost and found"", ""But I found my place And it's all right We're all searching for a better way Get this off my plate It's all right I got my own way to believe"", ""Find a lighthouse in the dark stormy weather We all could use a sedative right now Holy rollers sitting with their backs to the middle All alone and sinking is the bow"", ""And if you want to have to pray It's all right We all be thinking with our different brains Get this off my plate It's all right I got my own way to believe"", ""It's okay Sometimes you find yourself having to put all your faith In no faith Mine is mine and yours won't take its place Now, make your getaway Science says we're making love like the lizards Try and say that fossils ain't profound Silence says that we're not allowed to consider Silence says stand up, sit down, you're out But I found my place And it's all right"", ""I'm bearing witness to some better things Get this off my plate It's all right I've got my own way to believe It's okay Sometimes you find yourself being told to change your ways There's no way Mine is mine and yours won't take its place Now make your getaway Hey hey, it's okay Sometimes you find yourself having to put all your faith In no faith Mine is mine and yours won't take its place"", ""Now make your getaway It's okay Sometimes you find yourself being told to change your ways For God's sake Mine is mine and yours won't take its place Now, make your getaway"""
71,hitchhiker   ,"""You fool Dude what d'you think you're doing So you're lost My problem is not Conductor says Off of my train Be understood Guess those relationships ain't my thing Even if I could You ain't the kinda person I would help anyway I'm about to explode Cause I can't carry your load Hitchhiker"", ""You're cool and coke and your calculations We're friends Only because of my situation I'm about to unload Cause I can't carry your load Hitchhiker"", ""So be gone Too soon is too late I want no delay So be gone Get your food of someone else's plate Go tell all o'your friends I'm an idiot and you're great Hitchhiker Now Go..."""
72,never destination   ,
73,evacuation   ,"""The sirens scream wanton attention Time to take heed and change direction Time to take stock and make omissions"", ""Evacuation Evacuation"", ""Time to take leave all formal functions Time to plant seeds of a reconstruction No time this time to feign reluctance"", ""It's like you're waiting for a diamond shore to wash your way. Bets put aside you're evil Lets crawl into your face A vision vague or not raising a frightful wake you up"", ""Time for evacuation Evacuation Evacuation Evacuation"", ""Evacuation Evacuation"", ""There was a solemn man Watched his twilight disappear (in the sand) Altered by a falling eagle. A warning sign. Sign. He sensed that worry could be strength with a plan he said, \""Time for evacuation.\"""", ""Evacuation Evacuation Evacuation"", ""Evacuation Evacuation Evacuation Evacuation"", ""Evacuation Evacuation Evacuation Evacuation"""
74,sweet lew   ,"""power high, power low you can take 'em all to school you can fly, wilt the stilt had nothing on you lambchops and afro-do, milwaukee bucks and a barbecue #33 just like you sweet lew, how could you? sweet lew, makin' me blue a laker trade their bobby-d for a house, a crew by the sea a little help from 32, showtime, and worthy those were the days, pre-investment spree sweet lew, is it true? sweet lew, how could you? i grew up trying to copy you, bruce lee, and a kung-fu acta jazzman, yogi too little did i know, a loose screw but you had your own shoe build him high, build him tall, a taiku with a basketball tear 'em down, one and all 7'2\"" is a long way to fall sweet lew, how's the view? sweet lew, how could you?"""
75,brother   ,"""Hand over my face I am related to my enemy"", ""Our house on fire and big brother, brother tried to put the blame on me"", ""Oh, little sister, you and me can rise above Oh, ain't no brother - back to back to back Oh better back on"", ""You use the flag as a bandage Oh my big brother's a pocket hypocrisy"", ""In the closet, my pleasures 'cause big brother, brother don't wanna just let me be"", ""Oh, little sister, you and me can rise above Oh, ain't no brother - back to back to back Oh better back on"", ""Oh, little sister you and me can walk alone Oh, ain't no brother - back to back to back Oh better back on"", ""Hey now Brother"", ""Hey now Hey now Hey now"", ""In my mind there's a clearing Rose gardens open grey skies Oh no one's hurtin' and I'm joyin' I'm flying I'm flying"", ""Oh, back to back to back, oh better back on back to back to back, back c'mon back to back to back to back to back, back"", ""Hey now Brother"", ""Big brother, brother, brother"", ""Hey now Brother"""
76,leash   ,"""Troubled souls unite, we got ourselves tonight. I am fuel, you are friends, we got the means to make amends. I am lost, I'm no guide, but I'm by your side. I am right by your side."", ""Young lover, I stand. It was their idea, I proved to be a man. Take my fucking hand. It was their idea, I proved to be a man. Will myself to find a home, a home within myself. We will find a way, we will find our place."", ""Drop the leash, drop the leash... Get outta' my fuckin' face. Drop the leash, drop the leash... Get outta' my fuckin' face. Drop the leash, drop the leash Get outta' my fucking face."", ""Drop the leash, we are young. Drop the leash, drop the leash. Oh, get outta' my fuckin' face... Drop the leash, drop the leash... Get outta' my, my..."", ""Delight, delight, delight in our youth... Get outta' my fuckin' face..."""
77,around the bend   ,"""I am wishing you a well. Mind at peace within your cell. Covers up, I cast you off. I'll be watching as you breathe. I lie still, you move, I send you off around the bend."", ""I hold your head deep in my arms. My fingertips, they close your eyes. Off you dream, my little child. There's a sun around the bend. There's a sun around the bend."", ""All the evenings close like this. All these moments that I've missed. Please forgive me, won't you, dear? Please forgive and let me share with you around the bend..."", ""You're an angel when you sleep. How I want your soul to keep on and on around the bend."""
78,gremmie out of control   ,"""Every beach has a clown who thinks he knows it all (han-ten outta Santa Fe when surf comes out tomorrow lets go) And he's always practicing his cowabunga call (cowabunga) But he'll never scramble when the big waves start to roll Cause there's nothing worse than a gremmie out of control"", ""gremmie out of control gremmie out of control there's nothing worse than a gremmie out of control"", ""The kids always know that gremmie's talk is cheap (ride the hula-han over the pipeline bonsai to saddle bowl) Oh they just try to ignore this ugly creep (cowabunga) His board is always full of dings Cause he's always doing stupid things And there's nothing worse than a gremmie out of control"", ""gremmie out of control gremmie out of control there's nothing worse than a gremmie out of control"", ""gremmie out of control gremmie out of control there's nothing worse than a gremmie out of control there's nothing worse than a gremmie out of control there's nothing worse than a gremmie out of control"""
79,lightning bolt live   ,"""She comes on like a stone But you don't know where from she was thrown Like a burning meteor from miles high Shes looking for a place to land She said you got yourself some sand And whatever you'd reply she took as yes"", ""She comes out the deep? With her newly planted seeds and soon you're Thrown down on your knees and then you're dead Then before you know the weeds are all beastly overgrown With all the wild seeds he sews in your sleeve"", ""You gotta know you'll never let her go She's a lightning bolt! Lightning bolt! Lightning bolt!"", ""Always something and never nothing Isn't that the way we're taught to be, to be Flipping through the worn out pages And stages when you knew not who to be Yeah! yeah! Until the lightning strike sets you free"", ""You gotta know you'll never let her go She's a lightning bolt! Lightning bolt! Lightning bolt!"", ""The crashing stormy waves erode her shoreline everyday Until the castle of her ways turns to sand She holds her lovely breast as her birds fall from her nest Flying towards the great northwest And with no repair in sight There is no god with such might As you open her world wide with such a view And your death will soon arrive as she finally decides That all her problems, they won't die with you"", ""A-yeah!... A-yeah!... A-yeah! Never let her go She's a lightning bolt Never let her go She's true"""
80,drifting   ,"""Drifting, drifting, drifting away I got myself a mansion then I gave it away It's not the world that's heavy, it's just the things that you save And I'm drifting, drifting away"", ""Drifting, drifting, drifting along I rid myself of worries and my worries were gone I only run when I want to and I sleep like a dog I'm just drifting, drifting along"", ""All the suitcoats say \""there is money to be made\"" They get so damn excited but I guess it's their way My road, it may be lonely just because it's not paved It's good for drifting, drifting away"", ""All the suitcoats say \""there is money to be made\"" They get so damn excited but I guess it's their way My road, it may be lonely just because it's not paved It's good for drifting, drifting away"", ""Drifting, drifting, drifting, uh huh I feel like going back there but never for long I sometimes wonder if they know that I'm gone And I'm just drifting, drifting along Drifting, drifting along Drifting, drifting along"""
81,once   ,"""I admit it... What's to say... I'll relive it... Without pain..."", ""Backstreet lover on the side of the road I got a bomb in my temple that is gonna explode I got a sixteen gauge buried under my clothes, I pray"", ""Once upon a time I could control myself Ooh, once upon a time I could lose myself, yeah..."", ""Oh, try and mimic What's insane... I am in it... Where do I stand?"", ""Indian summer and I hate the heat I got a backstreet lover on the passenger seat I got my hand in my pocket, so determined, discreet I pray..."", ""Once upon a time I could control myself Ooh, once upon a time I could lose myself, yeah, yeah..."", ""You think I got my eyes closed But I'm looking at you the whole fucking time..."", ""Ooh, once upon a time I could control myself, yeah... Once upon a time I could lose myself, yeah, yeah, yeah... Once, upon a time I could love myself, yeah... Once upon a time I could love you, yeah, yeah, yeah... Once Once Once Once Yeah... once, once... yeah, yeah... Yeah... yeah, yeah... yeah, yeah... oww..."""
82,inside job   ,"""Underneath this smile lies everything All my hopes and anger, pride and shame Make myself a pact not to shut doors on the past Just for today I am free"", ""I will not lose my faith It's an inside job today I know this one thing well"", ""I used to try to kill love, was the highest sin Breathing insecurity out and in Searching hope, I'm shown the way to run straight Pursuing the greater way for all human light"", ""How I choose to feel is how I am How I choose to feel is how I am I will not lose my faith It's an inside job today"", ""Holding on, the light of night On my knees to rise and fix my broken soul Again"", ""Let me run into the rain To be a human light again Let me run into the rain To shine a human light today"", ""Life comes from within your heart and desire Oh, life comes from within my heart and desire Oh, life comes from within your heart and desire"", ""Yeah, yeah Run in rain"""
83,strangest tribe   ,"""Its 5 Below. in evidence. The winded eves. and sideways snow. His eminence. Has yet to show."", ""Follow the ageless tide. Follow the angles light. Follow the strangest tribe."", ""Its 6 am. Youre waiting for. Youve had yer feast. Youre wanting more."", ""Follow the wayward mile. Follow the distant high. Follow the strangest tribe."", ""Follow the ancient stripe. Follow the angels, try. Follow the strangest tribe."""
84,soon forget   ,"""Sorry is the fool who trades his soul for a Corvette Thinks he'll get the girl he'll only get the mechanic What's missing? He's living a day he'll soon forget"", ""That's one more time around, the sun is going down The moon is out but he's drunk and shouting Putting people down, he's pissing He's living a day he'll soon forget"", ""Counts his money every morning The only thing that keeps him horny Locked in a giant house that's alarming The townsfolk they all laugh"", ""Sorry is the fool who trades his love for high rise rent Seem the more you make equals the loneliness you get And it's fitting He's barely living a day he'll soon forget"", ""That's one more time around and there is not a sound He's lying dead clutching Benjamins Never put the money down, he's stiffening We're all whistling a man we'll soon forget"""
85,wasted reprise   ,"""I have faced it A life wasted I'm never going back again"", ""Having tasted A life wasted I'm never going back again"", ""I escaped it A life wasted I'm never going back again"""
86,who ever said   ,
87,redemption song   ,"""Pirates, I'm sayin' they rob I Board the merchant ships I'm not sayin' we're not a part of it From the bottomless pit But my hands were made strong By the force of the Almighty They don't say that your generation, triumphantly"", ""Won't you help to sing These songs of freedom 'Cause all I ever had Redemption song"", ""Emancipate yourself from mental slavery None but ourselves can free our mind Have no fear for atomic energy 'Cause none of them can stop the time"", ""How long can they steal our prophets While we stand beside and look? They don't say I'm your generation Oh, and I say..."", ""Won't you help to sing These songs of freedom 'Cause all I ever had Redemption song (x2)"", ""Emancipate yourself from mental slavery None but ourselves can free our mind Have no fear for atomic energy 'Cause none of them can stop the time"", ""How long can they steal our prophets While we stand beside and look? Say some say it's just a part of it You got to fulfill the book..."", ""Won't you help to sing These songs of freedom 'Cause all I ever had Redemption song 'Cause all I ever had Redemption song (X2) This song of freedom Oh..."""
88,speed of sound   ,"""yesterdays, how quick they change all lost and long gone now it's hard to remember any thing moving at the speed of sound moving with the speed of sound"", ""and yet i'm still holding tight to this dream of distant light and that somehow i'll survive but this night has been a long one waiting on a sun... that just don't come"", ""can i forgive what i cannot forget"", ""and live a lie? i could give it one more try why deny this drive inside? just looking for some peace"", ""everytime i get me some it gets the best of me not much left you see and yet i'm still holding tight to this dream of distant light"", ""and that somehow i'll survive but this night has been a long one waiting on a word... that never comes a whisper in the dark is that you or just my thoughts? wide awake & reaching out it's gone so quiet now could it be i'm farther out? moving faster than the speed of sound"""
89,dont believe in christmas   ,"""well mom and dad said we could so i did what i should i hung my stocking on a wall i didn't get a thing at all"", ""i don't believe in christmas i don't believe in christmas i don't believe in christmas 'cause i didn't get nothin' last year"", ""well stayin' up late to see santa clause fly well sure enough don't ya know the fat boy didn't show"", ""i don't believe in christmas i don't believe in christmas i don't believe in christmas 'cause i didn't get nothin' last year"", ""well i tried to get a little kiss from a pretty little miss she slapped me down and said \""you jerk, mistletoe doesn't work\"""", ""i don't believe in christmas i don't believe in christmas i don't believe in christmas 'cause i didn't get nothin' last year oh right!"", ""well wakin' up the reindeer makin' little kids cheer the reason that his nose shine santa gave him moonshine"", ""i don't believe in christmas i don't believe in christmas i don't believe in christmas 'cause i didn't get nothin' last year"", ""ah decorate the street light people lookin' to get right one hand will slap ya back the other one will take ya back"", ""i don't believe in christmas i don't believe in christmas i don't believe in christmas 'cause i didn't get nothin' last year"", ""i don't believe in christmas i don't believe in christmas i don't believe in christmas i don't believe in christmas i don't believe in christmas 'cause i didn't get nothin' but fear"""
90,animal   ,"""One, two, three, four, five against one Five, five, against one Said one, two, three, four, five against one Five, five, five, five, five against one"", ""Torture from you to me Abducted from the street"", ""I'd rather be I'd rather be with I'd rather be with an animal"", ""Why would you wanna hurt me? Oh Oh, so frightened of your pain"", ""I'd rather be I'd rather be with I'd rather be with an animal I'd rather be I'd rather be I'd rather be with an animal"", ""I'd rather be I'd rather be with I'd rather be with an animal I'd rather be I'd rather be I'd rather be with an animal"", ""Said one, two, three, four, five against one Five, five, five, five, five against one One, two, three, four, five against one Five, five, five, five, five against one"""
91,let my love open the door   ,
92,my way   ,"""BanYa - My way"", ""See, um. it's a brand new railroad Yeah yeah yeah"", ""I'm tired of the push and shoving All I want is a good old plate Try to give me butter, that's something It'll get me started on a brand new day, but yo, Who's that man that's trying to stop me Tell me who let me laugh at your face I'ma do it all, do it my way I'ma stand tall, yes I may, ha!"", ""I tell myself, deep down inside It's your world, stop that cry"", ""I'm tired of the push and shoving All I want is a good old plate You try to give me butter, that's something It'll get me started on a brand new day, but yo, Who's that man that's trying to stop me Tell me who let me laugh at your face Cause I'ma do it all, do it my way I'ma stand tall, yes I may"", ""Highs and lows, don't need a metro, My flows, simple red light I still go The windows bleeding, a crying audio, Alone in a gathering, ain't nothing happening No one home, I feel the quiet zone I'm gonna say solo, it's all possible Please know I'm gonna get mine, one soul Yo it's natural, but for now it's time to grow Ho."", ""Let's go"", ""What time is it?"", ""I tell myself, deep down inside It's your world, stop that cry I can see in reality There's a road that's made for me."", ""Hey, hey, hey-e-yeah Hey, hey, hey-e-yeah put 'em up, put 'em up, put 'em up Hey, hey, hey-e-yeah oh, now what, now what? Hey, hey, hey-e-yeah put 'em up, put 'em up, put 'em up"", ""Ha ha!"""
93,severed hand   ,"""Big man standing behind an open door Said, \""leave your lady on the cement floor.\"""", ""\""Got some kicks, wanna take ride?\"" I said, \""Yeh,...\"" \""Take your pick, leave yourself behind.\"" I said \""Yeh,...\"""", ""I've no fear but for falling down so look out below, I am falling now Oh please understand, I just need my friend a way home."", ""Tried to walk, found a severed hand recognized it by the wedding band."", ""\""It's okay, do you want some more?\"" I said, \""Yeh,...\"" \""You'll see dragons after 3 or 4...\"" I said, \""Yeh,...\"""", ""\""Understand, I'm not falling down\"" I said, \""Look around, the room's taller now,...\"" I can't close my eyes, cause I see the sound in waves, in waves, in waves."", ""In waves, lets me stay calm. If I don't lose control explore and not explode a preternatural other plane with the power to maintain. Like a tear in all we know once dissolved, we are free to grow \""What is human?,... What is more?\"" I'll answer this when I get home."""
94,mfc many fast cars   ,"""Sliding out of reverse into drive, this Wheel will be turning right, then straight Off in the sunset she'll ride She can remember a time denied Stood by the side of the road, spilled like wine now She's out on her own and I'm high"", ""There's no leaving here Ask- I'm an ear She's disappeared"", ""They said that timing was everything Made him want to be everywhere There's a lot to be said for nowhere"", ""There's no leaving here Ask- I'm an ear He's disappeared There's no leaving here Ask- I'm an ear Fuck it- we've disappeared"""
95,release   ,"""I see the world, feel the chill Which way to go, windowsill I see the world's on a rocking horse of time I see the birds in the rain"", ""Oh, dear dad, can you see me now I am myself, like you somehow I'll ride the wave where it takes me I'll hold the pain release me"", ""Oh, dear dad, can you see this now I am myself, like you somehow I'll wait up in the dark for you to speak to me I'll open up release me, release me, release me, release me"""
96,swallowed whole   ,"""I can feel the dawn, I can feel the earth I can feel the living all around I can choose a path, I can choose a word I can start the healing, Bring it now"", ""Whispered songs inside the wind Breathing in forgiveness Like vibrations with no end Feel the planet humming What is clear far from the noise, gets swallowed whole"", ""I can feel the sun, I can see the sound I can set myself right hear and drown I can feel the rush, I could clear the clouds I could set the needles spinning love I can hear the crash, I can feel the pound I can feel the current pulling down"", ""Whispered songs inside the wind Breathing in forgiveness Like vibrations with no end Feel the planet humming What is clear far from the noise, gets swallowed whole"", ""With no quiet to be found spirit lifted off the ground and what lies beyond the grave might be welcomed change And will come, come what may with no rest in peace Until that day"", ""I could choose a path, I could choose the word I could start the healing, bring it now I could be the sun, I could be the sound I could set myself right here and drown"", ""Whispered songs inside the wind Breathing in forgiveness And the chapter I've not read Turn the page"""
97,black remix   ,"""Hey...oooh... Sheets of empty canvas Untouched sheets of clay Were laid spread out before me As her body once did All five horizons Revolved around her soul As the earth to the sun Now the air I tasted and breathed Has taken a turn Ooh and all I taught her was everything Ooh I know she gave me all that she wore And now my bitter hands Chafe beneath the clouds Of what was everything Oh the pictures have All been washed in black Tattooed everything I take a walk outside I'm surrounded by Some kids at play I can feel their laughter So why do I sear Oh, and twisted thoughts that spin Round my head I'm spinning Oh, I'm spinning How quick the sun can, drop away... And now my bitter hands Cradle broken glass Of what was everything All the pictures had All been washed in black Tattooed everything All the love gone bad Turned my world to black Tattooed all I see All that I am All I'll be... Yeah Uh huh...uh huh...ooh... I know someday you'll have a beautiful life I know you'll be a sun In somebody else's sky But why Why Why can't it be Why can't it be mine (not sure?) mm-hmm no yeah no mm mmmm no nonono yeah yeah we- we belong we belong together together oooh ooh we- we belong we belong together oh yeah"""
98,mind your manners   ,"""I got an unfortunate feeling, I been beaten down I feel that I'm done believing, now the truth is coming out"", ""What they're taking is, more than a vow They're taking young innocents, and then they throw 'em on a burning pile, ah ah ay ay And all along they're saying... \""Mind your manners!\"""", ""I caught myself believing that I needed God And if it's out there somewhere we sure could use hymn now"", ""Try my patience! My patience tried This world's a long love letter that makes me want to cry, ah ah ay ay"", ""All along they're saying... \""Mind your manners!\"" That's all they're saying Self-realized and metaphysically redeemed May not live another life, may not solve our mystery Right round the corner could be bigger than ourselves We could will it to the sky, or we could something else"", ""And all along they're saying... \""Mind your manners!\"" Always praying Self-realized and metaphysically redeemed May not live another life, may not solve our mystery Right round the corner could be bigger than ourselves We could will it to the sky, or we could something else Go to heaven, that's swell... how you like your living in hell?"""
99,nothingman   ,"""Once divided, nothing left to subtract Some words when spoken, can't be taken back Walks on his own, with thoughts he can't help thinking Future's above, but in the past he's slow and sinking Caught a bolt a lightnin'... cursed the day he let it go"", ""Nothingman, Nothingman Isn't it something, Nothingman She once believed... in every story he had to tell"", ""One day she stiffened, took the other side Empty stares... from each corner of a shared prison cell One just escapes... one's left inside the well And he who forgets, will be destined to remember Nothingman, Nothingman"", ""Isn't it something, Nothingman Oh, she don't want him Oh, she won't feed him... After he's flown away"", ""Oh, into the sun, yeah, into the sun Burn, burn Nothingman, Nothingman Isn't it something, Nothingman Nothingman, Nothingman Coulda' been something, Nothingman"""
100,sirens   ,"""Hear the sirens Hear the sirens Hear the sirens"", ""Hear the circus so profound I hear the sirens More and more in this here town"", ""Let me catch my breath to breathe And reach across the bed Just to know we're safe I am a grateful man The slightest bit of light And I can see you clear Have to take your hand And feel your breath For fear this someday will be over I pull you close, so much to lose Knowing that nothing lasts forever I didn't care, before you were here I danced in laughter with the ever after But all things change Let this remain"", ""Hear the sirens"", ""Covering distance in the night The sound echoing closer Will they come for me next time?"", ""For every choice mistake I've made It's not my plan Or to send you in the arms of Another man And if you choose to stay I'll wait I'll understand It's a fragile thing This life we lead If I think too much I can get Over Whelmed by the grace By which we live our lives With death over our shoulders Want you to know That should I go I always loved you Held you high above, true I study your face And the fear goes away"", ""It's a fragile thing This life we lead If I think too much I can get over Whelmed by the grace By which we live our lives With death over our shoulder Want you to know That should I go I always loved you Held you high above, true I study your face And the fear goes away The fear goes away The fear goes away Aah ah, oh oh Aah ah, oh oh"""
101,bushleaguer   ,"""How does he do it? How do they do it? Uncanny and immutable This is such a happening tailpipe of a party Like sugar, the guests are so refined"", ""A confidence man, but why so beleaguered? He's not a leader, he's a Texas leaguer Swinging for the fence, got lucky with a strike Drilling for fear makes the job simple Born on third, thinks he got a triple"", ""Blackout weaves its way through the cities Blackout weaves its way through the cities Blackout weaves its way"", ""I remember when you sang That song about today Now it's tomorrow and Everything has changed"", ""A think tank of aloof multiplication A nicotine wish and a columbus decanter Retrenchment and hoggishness The aristocrat choir sings [\""What's the ruckus?\""] The haves have not a clue"", ""The immenseness of suffering And the odd negotiation, a rarity With onion-skin plausibility of life And a keyboard reaffirmation"", ""Blackout weaves its way through the cities Blackout weaves its way through the cities Blackout weaves its way"", ""I remember when you sang That song about today Now it's tomorrow and Everything has changed"""
102,faithful   ,"""Plaque on the wall says that no one's slept here  It's rare to come upon a bridge that has not been around  Or been stepped on  Whatever the notions we laced in our prayers  The man upstairs is used to all of this noise  I'm through with screaming "", ""And echoes nobody hears it goes it goes it goes  Like echoes nobody hears it goes it goes it goes  We're faithful we all believe we all believe it {4X} "", ""And echoes nobody hears, it goes, it goes, it goes {2X}  We're faithful, we all believe, we all believe it {3X}  So faithful, we all believe, we all believe it "", ""M.Y.T.H. is?  Belief in the game controls that keeps us in a box of fear  We never listen  Voice inside so drowned out  Drowned you are, you are...  You are everything, and everything is you  Me, you... you, me. It's all related  What's a boy to do?  Just be darling and I will be too  Faithful to you"""
103,cropduster   ,"""Light green to green, dark green, brown Every life is falling down Brown to black, it's coming back Dies to be part of the ground Seed to seedling, root to stem"", ""Eyes, no eyes, there's no difference Every life is looking in Swallowing seeds on the deathbed Dig a hole in the garden"", ""Everyone is practicing But this world's an accident I was the fool because I thought I thought the world Turns out the world thought me It's all the other way around We're upside down"", ""Dad, he's gone up in flames But this ain't no movie This ain't no book you can close When the big lie hits your eye"", ""Everyone is practicing Our world's an accident I was the fool because I thought I thought the world Turns out the world thought me It's all the other way 'round We're upside down"", ""Down, down, down Let the fluency set it down Down Let the fluency set it down There's an upside of down"", ""The moon is rolling 'round our world The moon is rolling 'round our world Our world Our world"""
104,light years   ,"""I've used hammers made out of wood I have played games with pieces and rules I've deciphered tricks at the bar But now you're gone I haven't figured out why I've come up with riddles And jokes about war I've figured out numbers and what they're for I've understood feelings And I've understood words But how could you be taken away?"", ""And wherever you've gone, and wherever we might go It don't seem fair, today just disappeared Your light's reflected now, reflected from a far We were but stones, your light made us stars"", ""With heavy breath awakens regret Back pages and days that could've been spent Together, but we're miles apart Every inch between us becomes light years now No time to be void or save up on life You've got to spend it all"", ""And wherever you've gone, and wherever we might go It don't seem fair, today just disappeared Your light's reflected now, reflected from a far We were but stones, your light made us stars"""
105,sad   ,"""All the photographs were peeling And colors turned to gray, he stayed in his room with memories for days, he faced an undertow of futures laid to waste, embraced by the loss of one what he could not replace"", ""There's no reason that she passed and there is no god with a plan, it's sad and his loneliness is proof, it's sad he could only love you, it's sad"", ""The door swings to a passing fable a fate we may delay, we say holding on, delivered in our own brace eleven nights he laid in bed hoping that dreams will bring her back, it's sad and his loneliness is proof, it's sad he could only love you, it's sad"", ""Holding his last breath, believing he'll make his way but she's not forgotten he's haunted he's searching for escape If just one wish could bring her back, it's send and his loneliness is proof, it's sad he will always love you, it's sad"""
106,red dot   ,"""I got a car, I got some gas Oh let's get out of here, get out of here fast Oh everyone's confused, so I stay in my room If I go, I don't want to go alone"", ""I hope you get this message, oh you're not home I could be there in ten minutes or so Oh I got my things, we'll make it up as we go along Oh with you I could never be alone, never be alone"""
107,patriot   ,"""And the rivers shall open for the righteous... And the rivers shall open for the righteous... And the rivers shall open for the righteous someday..."", ""I was walking with my brother, And he wondered, oh how I am. Said what I believe in my soul Ain't what I see with my eyes, And there's no turning back this time."", ""I am a patriot, and I love my country, Because my country is all I know. Wanna be with my family, People who understand me. I got no place else to go."", ""I was walking with my girlfriend. She looked so fine, I said \""Baby, what's on your mind?\"" Said I want to run like the lions Released from their cages... Released from the rages Burning in my soul tonight."", ""I am a patriot, and I love my country, Because my country is all I know."", ""And I ain't no communist, And I ain't no socialist, And I ain't no capitalist, And I ain't no imperialist, And I ain't no democrat, Sure ain't no republican either, I only know one party, And that is freedom. I am... I am... I am..."", ""I am a patriot, and I love my country, Because my country is all I know."", ""And the rivers shall open for the righteous, And the rivers shall open for the righteous, And the rivers shall open for the righteous someday... Someday... someday..."""
108,indifference   ,"""I will light the match this mornin' So I won't be alone Watch as she lies silent For soon night will be gone"", ""Oh, I will stand arms outstretched Pretend I'm free to roam I will make my way Through, one more day in hell"", ""How much difference does it make? How much difference does it make?"", ""I will hold the candle 'Til it burns up my arm Oh, I'll keep takin' punches Until their will grows tired"", ""Oh, I will stare the sun down Until my eyes go blind Hey, I won't change direction And I won't change my mind"", ""How much difference does it make? How much difference does it make?"", ""I'll swallow poison Until I grow immune I will scream my lungs out Till it fills this room"", ""How much difference does it make? How much difference does it make? How much difference does it make? How much difference does it make?"""
109,habit   ,"""Seen it happen to a couple of friends. See it happen and the message it sends. Taking off for what's an obvious fall. Just to see what all the fuss is about."", ""It's not your way. Not your way. It's not your way."", ""Another habit says it's in love with you. Another habit says it's love's overdue. Another habit like an unwanted friend. I'm so happy with my righteous self."", ""It's not your way. Not your way. It's not your way."", ""Never thought you'd habit. Never thought you'd habit. Never thought you'd habit. I never thought you'd... never thought you'd... Never thought you'd habit. Never thought you'd habit. Never thought you'd habit. I never thought you'd... never never thought you'd..."", ""Never thought you'd habit. Never thought you'd habit. Never thought you'd habit. Never thought you'd habit. Never thought you'd habit. Never thought you'd habit. Speaking as a child of the 90's..."", ""Never thought you'd habit. Never thought you'd habit. Never thought you'd habit. I never thought you... Never thought you. Never thought you'd habit. Never thought you'd habit. Never thought you'd habit. I never thought you... Never never thought you."", ""Never... Never me. Never you. Never me."""
