,Song_name,linkin-park
14,papercut remix   ,"""Why does it feel like night today? Something in here's not right today Why am I so uptight today? Paranoia's all I got left"", ""I don't know what stressed me first Or how the pressure was fed But I know just what it feels like To have a voice in the back of my head"", ""It's like a face that I hold inside A face that awakes when I close my eyes A face watches every time I lie A face that laughs every time I fall (And watches everything)"", ""So I know that when it's time to sink or swim That the face inside is hearing me Right underneath my skin"", ""It's like I'm paranoid lookin' over my back It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within It's like the face inside is right beneath my skin"", ""I know I've got a face in me Points out all my mistakes to me You've got a face on the inside too and Your paranoia's probably worse"", ""I don't know what set me off first But I know what I can't stand Everybody acts like the fact of the matter is I can't add up to what you can"", ""But everybody has a face that they hold inside A face that awakes when I close my eyes A face watches every time they lie A face that laughs every time they fall (And watches everything)"", ""So you know that when it's time to sink or swim That the face inside is watching you too Right inside your skin"", ""It's like I'm paranoid lookin' over my back It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within It's like the face inside is right beneath the skin"", ""It's like I'm paranoid lookin' over my back It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within It's like the face inside is right beneath my skin"", ""The face inside is right beneath your skin The face inside is right beneath your skin The face inside is right beneath your skin"", ""The sun goes down I feel the light betray me The sun goes down I feel the light betray me"", ""It's like I'm paranoid lookin' over my back (The sun) It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within It's like the face inside is right beneath the skin (I feel the light betray me)"", ""It's like I'm paranoid lookin' over my back (The sun) It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within It's like I can't stop what I'm hearing within (I feel the light betray me)"", ""It's like I can't stop what I'm hearing within (The sun) It's like the face inside is right beneath my skin"""
15,given up   ,"""Wake in a sweat again Another day's been laid to waste In my disgrace Stuck in my head again Feels like I'll never leave this place There's no escape I'm my own worst enemy"", ""I've given up I'm sick of feeling Is there nothing you can say? Take this all away I'm suffocating Tell me, what the fuck is wrong with me?"", ""I don't know what to take Thought I was focused, but I'm scared I'm not prepared I hyperventilate Looking for help somehow, somewhere And no one cares I'm my own worst enemy"", ""I've given up I'm sick of feeling Is there nothing you can say? Take this all away I'm suffocating Tell me, what the fuck is wrong with me?"", ""God! Put me out of my misery! Put me out of my misery! Put me out of my, put me out of my fucking misery!"", ""I've given up I'm sick of feeling Is there nothing you can say? Take this all away I'm suffocating Tell me, what the fuck is wrong with me?"""
16,dirt off your shoulder lying from you   ,"""I ordered a frappuccino, where's my fucking frappuccino? (hahaha) Alright Let's do this"", ""When I pretend, Everything is what I want it to be, I looked exactly like what you had always wanted to see, When I pretend, I can't forget about the criminal I am, Stealing second after second just cause I know I can, But I can't pretend that this is the way it'll stay, I'm just Trying to bend the truth I can't pretend I'm who you want me to be so I'm Lying my way from"", ""Yeah If you feelin like a pimp nigga, go and brush your shoulders off Ladies is pimps too, go and brush your shoulders off Niggas is crazy baby, don't forget that boy told you Get, that, dirt off your shoulder"", ""I probably owe it to y'all, proud to be locked by the force Tryin to hustle some things, that go with the Porsche Feelin no remorse, feelin like my hand was forced Middle finger to the law, nigga grip'n my balls All the ladies they love me, from the bleachers they screamin All the ballers is bouncin they like the way I be leanin All the rappers be hatin, off the track that I'm makin But all the hustlers they love it just to see one of us make it Came from the bottom the bottom, to the Top of the Pops Nigga London, Japan and I'm straight off the block Like a running back, get it man, I'm straight off the block I can run it back nigga cause I'm straight with the Roc"", ""If you feelin like a pimp nigga, go and brush your shoulders off Ladies is pimps too, go and brush your shoulders off Niggas is crazy baby, don't forget that boy told you Get, that, dirt off your shoulder You gotta Get, that, dirt off your shoulder You gotta Get, that, dirt off your shoulder You gotta Get, that, dirt off your shoulder You gotta Get, that, dirt off your shoulder"", ""Your homey Hov' in position, in the kitchen with soda I just whipped up a watch, tryin to get me a Rover Tryin to stretch out the coca, like a wrestler, yessir Keep the Heckler close, you know them smokers'll test ya But like, fifty-two cards when I'm, I'm through dealin Now fifty-two bars come out, now you feel 'em Now, fifty-two cars roll out, remove ceiling In case fifty-two broads come out, now you chillin with a boss bitch of course S.C. on the sleeve At the 40/40 club, ESPN on the screen I paid a grip for the jeans, plus the slippers is clean No chrome on the wheels, I'm a grown-up for real"", ""I remember what they taught to me, Remember condescending talk, Of who I ought to be, Remember listening to all of that, And this again, So I pretended up a person who was fitting in, And now you think this person, Really is me and I'm Trying to bend the truth The more I push, The more I'm pulling away, Cause I'm Lying my way from"", ""You (No, no turning back now) I wanna be pushed aside, so let me go (No, no turning back now) Let me take back my life, I'd rather be, all alone (No turning back now) Anywhere on my own, cause I can see (No, no turning back now] The very worst part of you... The very worst part of you... Is me"", ""This isn't what I wanted to be, I never thought that what I said, Would have you running from me, LIKE THIS This isn't what I wanted to be, I never thought that what I said, Would have you running from me, LIKE THIS This isn't what I wanted to be, I never thought that what I said, Would have you running from me, LIKE THIS This isn't what I wanted to be, I never thought that what I said, Would have you running from me, LIKE THIS"", ""You (No turning back now) I wanna be pushed aside, so let me go (No, no turning back now) Let me take back my life, I'd rather be, all alone (No turning back now) Anywhere on my own, cause I can see [No, no turning back now] The very worst part of you... The very worst part of you... Is me"", ""Beeatch"""
17,tupac and biggie tribute   ,"""2pac:I guess god didnt find no replacement for 2pac yet. As soon as god find a replacement for 2pac im gone but.. until he do ill be here doing what he want me to do."", ""Biggie: Pac is a strong dude yo i know dude. ya know what im saying? he real strong. so when they were like he got shot i was like again? ya know what im saying hes always getting shot or shot at. he gonna pull through this one again make a few records about it and its gonna be over ya know what im saying? but when he died i was just like wow..ya know what im saying? it kinda took me by... man even though we were going through our drama i would never wish death on nobody...ya know what im saying 'cause they be coming back."", ""Unknown Person: This is Dale Hube, For University Medical Center. This message is being recoreded at appoximently 5:15 on Firday September 13th. Tupac Shakur passed away today at the University Medical Center at appoximently 4:03 PM. Pshyicans have listed the cause of death as respitory failuare and CardioPulmanary Arrest. Mr. Shakur's Body has been removed from the hospital and funieral arrangments are pending."", ""Linkin Park Lead Singer: Yo"", ""September 13, 1996 Tupac in the mist of some Suge Knight bullshit nobody saw it coming nobody knew what hit its been almost seven years since you been gone we all miss you dawg thats why I wrote this song from me against the world to all eyes on me you was a real muthafucka yah u made me see uh uh yah you made me see"", ""(chorus)4x I said nobody saw it coming, nobody even knows why, somebody please tell me why you had to die"", ""Yo Verse 2 (2x) March 9, 1997 L.A. California another 1-8-7 you were ready to die just like your album said so many playa haters that want to see you dead you took the game of brooklyn and gave it to the whole world your whole life revolved around rap and you lil' girl i cant believe these rappers try to bite yo style even Em and 50 in 8 mile Biggie Small you was the man you was the myth you was the legend i wonder if you and pac made peace in heaven"", ""(chorus)4x this song is dedicated to Tupac Shakur and Biggie Smalls"", ""yo yo (chorus)4x"""
18,held nothing back   ,"""You tried to find the reason why it all ran away, And you think of want you could have done different. When you thought you were complete, You opened up your eye When you thought you had it all That's when you lost it If you want to hold on to everything You will fall."", ""You are around chasing things that disappear. You can get enough 'cause you want it all When you thought you were ok You opened up your eye When you thought you had it all That's when you lost it If you want to hold on to everything You will fall."", ""When you thought you had it all That's when you lost it If you want to hold on to everything You will fall. When you thought you had it all That's when you lost it If you want to hold on to everything You will fall"""
19,invisible   ,"""I've got an aching head Echoes and buzzing noises I know the words we said But wish I could've turned our voices down"", ""This is not black and white Only organized confusion I'm just trying to get it right And in spite of all I should've done"", ""I was not mad at you I was not trying to tear you down The words that I could've used I was too scared to say out loud"", ""If I cannot break your fall I'll pick you up right off the ground If you felt invisible I won't let you feel that now"", ""Invisible, invisible Invisible, invisible"", ""You didn't get your way And it's an empty feeling You've got a lot to say And you just want to know you're being heard"", ""But this is not black and white There are no clear solutions I'm just trying to get it right And in spite of all I should've done"", ""I was not mad at you I was not trying to tear you down The words that I could've used I was too scared to say out loud"", ""If I cannot break your fall I'll pick you up right off the ground If you felt invisible I won't let you feel that now"", ""Invisible, invisible Invisible, invisible"", ""This is not black and white There are no clear solutions I'm just trying to get it right And in spite of all I should've done"", ""I was not mad at you I was not trying to tear you down The words that I could've used I was too scared to say out loud"", ""If I cannot break your fall I'll pick you up right off the ground If you felt invisible I won't let you feel that now"", ""Invisible, invisible Invisible, invisible Invisible, invisible Invisible, invisible"""
20,ill be gone remix   ,"""Like shining oil, this night is dripping down Stars are slipping down, glistening And I'm trying not to think what I'm leaving now No deceiving now, it's time you let me go Let me go"", ""I'll be gone! I'll be gone!"", ""King Push Dope game keep callin' Dope boys keep fallin' Askin' me \""What's my legacy?\"" I just wanna die ballin' I just wanna die pourin' I just wanna ride foreign I just wanna bring hoes together Lonny, Lisa, meet Lauren (Wooo!) Then I be gone, keep it movin', what I be on Damn right I know what time it is Patek Philippe and the Tourbillion (Yuugh!) I'm stylin' on 'em, I'm swervin' on 'em I know it's wrong, but life's a bitch and she turn me on!"", ""Yeah, and to each his own Hatin' ain't something that we condone Is the way I flip when the beat come on I gonna pop that shit 'til your speakers blown And y'all wanna cop a plea Who you gon' talk to? Not to me Because the chain of command work properly You gotta earn a few stripes 'til you talk to me Word to Pusha, word to Vice Built a track once and killed it twice Built a stage up and killed the lights Opening act was like \""Fuck my life\"" Y'all can love it, ain't nothing wrong Forget the hatin' that y'all be on Enjoy it now because after long Keyser S\u00c3\u00b6ze, I'll be gone"", ""I'll be gone! I'll be gone!"", ""When the lights go out and we open our eyes Out there in the silence, I'll be gone I'll be gone Let the sun fade out and another one rise Climbing through tomorrow, I'll be gone I'll be gone"", ""When the lights go out and we open our eyes Out there in the silence, I'll be gone I'll be gone"", ""I'll be gone! I'll be gone! I'll be gone!"""
21,behind your lies   ,"""Lies"", ""I didn't think that I had a debt to pay 'Til they came to take what I had left away You said you wouldn't put me to the test today But I remember you saying that yesterday"", ""There was a time when your mind wasn't out of control Every memory and confession pouring out of your soul Like a pill you couldn't swallow and it swallowed you whole Another lie hard to follow till it followed you home and like that"", ""Broken down, a victim of your"", ""Lies you hide behind Lies, you don't know why you crossed the line wrapped up inside your Lies you hide behind Lies, you're lost inside that cold disguise behind your lies"", ""I don't know what I thought I might say Seems like we never were taught the right way Every other minute I fought for my place And drop what I made and thought you might say"", ""So I'm guessing that you probably know When your inside's hollow and you wanna be cold Like a pill hard to swallow and it swallowed you whole Another lie hard to follow till it followed you home and like that"", ""Broken down, a victim of your"", ""Lies you hide behind Lies, you don't know why you crossed the line wrapped up inside your Lies you hide behind Lies, you're lost inside that cold disguise behind your lies"", ""You're faking, you're mistaken If you think that you could climb out of this hole Forsaken, what would take when Analyzing by the power of control"", ""Broken down, a victim of your"", ""Lies you hide behind Lies, you don't know why you hide behind Lies, you don't know why you hide behind Lies, you don't know why you hide behind Wrapped up inside your"", ""Lies you hide behind Lies, you don't know why you crossed the line wrapped up inside your Lies you hide behind Lies, you're lost inside that cold disguise behind your lies"""
22,ammosick   ,"""This is the first line here This is the first line again Watch as I disappear I know the last line The last line will never pull me in"", ""This is the next line here This is the next line again You can forget I'm here As if the last line The last line is slowly closing in"", ""This is the last line here This is the last line again Watch as I disappear And the last line The flatline that goes here at the end"""
23,place for my head   ,"""I watch how the moon sits in the sky in the dark night Shining with the light from the sun And the sun doesn't give light to the moon assuming The moon's gonna owe it one It makes me think of how you act for me You do favors and then rapidly You just turn around and start asking me About things that you want back from me"", ""I'm sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest"", ""I want to be in another place I hate when you say you don't understand (You'll see it's not meant to be) I want to be in the energy, not with the enemy A place for my head"", ""Maybe someday I'll be just like you And step on people like you do and Run away of the people I thought I knew I remember back then who you were You used to be calm, used to be strong Used to be generous but you should've known That you'd wear out your welcome And now you see how quiet it is, all alone"", ""I'm so sick of the tension, sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed While I find a place to rest"", ""I want to be in another place I hate when you say you don't understand (You'll see it's not meant to be) I want to be in the energy, not with the enemy A place for my head"", ""You try to take the best of me Go away"", ""I want to be in another place I hate when you say you don't understand (You'll see it's not meant to be) I want to be in the energy, not with the enemy A place for my head"", ""Shut up... what!"", ""I'm so sick of the tension (shut) Sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed (up) While I find a place to rest I'm so sick of the tension (what) Sick of the hunger Sick of you acting like I owe you this Find another place to feed your greed (stay away from me) While I find a place to rest"""
24,starting to fly   ,"""I know the answers from the words of The prophet I've seen the light through the fingers"", ""Made of magic I've seen an image of the future It's a vision And I know who you are Go away can't you see you're not real Open your eye some place far away I've seen the ocean"", ""And I've seen the sky I've got my wings and I'm starting to fly Yeah I met a poet tonight behind the masses"", ""I sang a song about my many true Addictions I saw myself in a hole, down below And I know who you are Yeah"", ""I'm alright though it's hard to feel"", ""Open your eye some place far away I've seen the ocean and I've seen the sky I've got my wings and I'm starting to fly"", ""Oh yeah"", ""Oh yeah Open your eyes Look to the sky"", ""Grab your wings And then, start to fly Open your eyes Look to the sky Grab your wings And then, start to fly Yeah I've seen the ocean and I've seen the sky I've got my wings and I'm starting to fly I've seen the ocean and I've seen the sky I've got my wings and I'm starting to fly Yeah yeah Oh I'm starting to fly Yeah I'm starting to fly Oh I'm starting to fly Yeah I'm starting to fly Yaeeeeaehaaahehh Starting to fly Starting to fly Starting to fly"""
25,valentines day   ,"""My insides all turn to ash So slow And blow away as I collapsed So cold"", ""A black wind took them away From sight And now the darkness over day That night"", ""And the clouds above move closer Looking so dissatisfied But the heartless wind kept blowing, blowing"", ""I used to be my own protection But not now 'Cause my path has lost direction Somehow"", ""A black wind took you away From sight And now the darkness over day That night"", ""And the clouds above move closer Looking so dissatisfied And the ground below grew colder As they put you down inside But the heartless wind kept blowing, blowing"", ""So now you're gone And I was wrong I never knew what it was like"", ""To be alone on a Valentine's Day On a Valentine's Day On a Valentine's Day On a Valentine's Day"", ""(On a Valentine's Day) I used to be my own protection (On a Valentine's Day) But not now (On a Valentine's Day) 'Cause my mind has lost direction (On a Valentine's Day) Somehow (On a Valentine's Day) I used to be my own protection (On a Valentine's Day) But not now (On a Valentine's Day) 'Cause my mind has lost direction (On a Valentine's Day) Somehow"""
