,Song_name,shakira
31,gitana   ,"""Nunca us\u00c3\u00a9 un antifaz Voy de paso por este mundo fugaz No pretendo parar Dime, \u00c2\u00bfqui\u00c3\u00a9n camina cuando se puede volar?"", ""Mi destino es andar Mis recuerdos son una estela en el mar Lo que tengo, lo doy Digo lo que pienso, t\u00c3\u00b3mame como soy"", ""Y va liviano Mi coraz\u00c3\u00b3n gitano Que s\u00c3\u00b3lo entiende de latir a contramano No intentes amarrarme Ni dominarme Yo soy quien elige c\u00c3\u00b3mo equivocarme"", ""Aprov\u00c3\u00a9chame Que, si llegu\u00c3\u00a9 ayer, me puedo ir ma\u00c3\u00b1ana Que soy gitana Que soy gitana"", ""Sigo siendo aprendiz En cada beso y con cada cicatriz Algo pude entender De tanto que tropiezo, ya s\u00c3\u00a9 c\u00c3\u00b3mo caer"", ""Y va liviano Mi coraz\u00c3\u00b3n gitano Que s\u00c3\u00b3lo entiende de latir a contramano No intentes amarrarme Ni dominarme Yo soy quien elige c\u00c3\u00b3mo equivocarme"", ""Aprov\u00c3\u00a9chame Que, si llegu\u00c3\u00a9 ayer, me puedo ir ma\u00c3\u00b1ana Que soy gitana"", ""Vamos y vemos Que la vida es un goce Es normal que le temas a lo que no conoces"", ""T\u00c3\u00b3mame y vamos Que la vida es un goce Es normal que le temas a lo que no conoces"", ""Quiero verte volar Quiero verte volar"", ""Y va liviano Mi coraz\u00c3\u00b3n gitano Que s\u00c3\u00b3lo entiende de latir a contramano No intentes amarrarme Ni dominarme Yo soy quien elige c\u00c3\u00b3mo equivocarme"", ""Aprov\u00c3\u00a9chame Que, si llegu\u00c3\u00a9 ayer, me puedo ir ma\u00c3\u00b1ana Que soy gitana"""
32,a hells angel en espanol   ,"""Loca (Loca) Dance or Die (Loca) Loca (Loca)"", ""Ella es gettin 'alto todo el tiempo S\u00c3\u00b3lo para evitar que se me Ella recibe de usted en similares (Ahh!) Sea cuidadoso amigo Habla de la ma\u00c3\u00b1ana s\u00c3\u00b3lo para que te despierte Ella est\u00c3\u00a1 atada a tu amor Pero la m\u00c3\u00ada s\u00c3\u00b3lo tu amor, muchacho"", ""Y S\u00c3\u00ad, soy yo Tranquila Como que estoy en una playa de Anguila Bebiendo Corona Como si fuera 'Goin' nada en No est\u00c3\u00a1 dejando \""s\u00c3\u00b3lo t\u00c3\u00ba Los mensajes de texto a otras chicas \u00c2\u00bfQu\u00c3\u00a9 va a tomar s\u00c3\u00b3lo para mantenerlos fuera"", ""Estribillo: Y yo estoy loco, pero que les guste (loca, loca, loca) Si te gusta que no es f\u00c3\u00a1cil (loca, loca, loca) Que estoy loco, pero que les guste (loca, loca, loca) Que estoy loco, pero que les guste ..."", ""Esa chica es un chiflado Caliente sin embargo, caliento cuando me toque a su Chica caliente Me haces rap con el merengue Me siento presidente para El Soy una mierda y me encanta que corriendo Ella tiene un tope Lil decir, Pero usted debe ver lo que hace con ella Ella lo mantiene abajo bajo (muy abajo, abajo bajo) Yo nunca puedo tener suficiente (oh no, oh no) Ella me da evasivas, Pero me quedo Chasin ' Pero quiero decir, yo, que estoy enamorado Con una loca pero est\u00c3\u00a1 todo bien y est\u00c3\u00a1 bien por m\u00c3\u00ad Siempre y cuando la oigo decir: \""Ay, papi\"""", ""Estribillo: Y yo estoy loco, pero que les guste (loca, loca, loca) Si te gusta que no es f\u00c3\u00a1cil (loca, loca, loca) Que estoy loco, pero que les guste (loca, loca, loca) Que estoy loco, pero que les guste ..."", ""Eres la \u00c3\u00banica para m\u00c3\u00ad y para ella no m\u00c3\u00a1s Ahora creo que lo tiene todo Tengo un kiki"", ""Eres la \u00c3\u00banica para m\u00c3\u00ad y para ella no m\u00c3\u00a1s Ahora creo que lo tiene todo Tengo mi kiki"", ""Hay un mont\u00c3\u00b3n de cosas que har\u00c3\u00ada a usted por favor Te lleve a la porci\u00c3\u00b3n m\u00c3\u00a9dico El Caminito Porque nos vas a obtener algo Mambo \u00c2\u00a1Oh, qu\u00c3\u00a9 hacer en el laui?"", ""Realmente no puedo evitarlo Si hago la loca dama No quiero ning\u00c3\u00ban problema S\u00c3\u00b3lo quiero golpear la (ooh!)"", ""Y yo estoy loco, pero que les guste Porque la chica un poco como yo Nunca est\u00c3\u00a1 lejos del mercado"", ""Estribillo: Y yo estoy loco, pero que les guste (loca, loca, loca) Si te gusta que no es f\u00c3\u00a1cil (loca, loca, loca) Que estoy loco, pero que les guste (loca, loca, loca) Que estoy loco, pero que les guste (Dios m\u00c3\u00ado)"", ""Esa chica es (Loca) Esa chica es (Loca) Esa chica es (Loca)"", ""Loca Esa chica es (Loca) Esa chica es (Loca)"", ""Eres la \u00c3\u00banica para m\u00c3\u00ad y para ella no m\u00c3\u00a1s Ahora creo que lo tiene todo Tengo mi kiki"", ""Y yo estoy loco, pero que les guste (loca, loca, loca) Si te gusta que no es f\u00c3\u00a1cil (loca, loca, loca) La loca, la loca, la loca (loca"""
33,antologia english   ,
34,hay amores en portugues   ,"""Ay, mi bien, \u00c2\u00bfqu\u00c3\u00a9 no har\u00c3\u00ada yo por ti? Por tenerte un segundo Alejados del mundo y cerquita de m\u00c3\u00ad"", ""Ay, mi bien, como el r\u00c3\u00ado Magdalena Que se funde en la arena del mar Quiero fundirme yo en ti"", ""Hay amores que se vuelven resistentes a los da\u00c3\u00b1os Como el vino que mejora con los a\u00c3\u00b1os As\u00c3\u00ad crece lo que siento yo por ti"", ""Hay amores que se esperan al invierno y florecen Y en las noches del oto\u00c3\u00b1o reverdecen Tal como el amor que siento yo por ti"", ""Ay, mi bien, no te olvides del mar Que en las noches me ha visto llorar Tantos recuerdos de ti"", ""Ay, mi bien, no te olvides del d\u00c3\u00ada Que separ\u00c3\u00b3 a tu vida De la pobre vida que me toc\u00c3\u00b3 vivir"", ""Hay amores que se vuelven resistentes a los da\u00c3\u00b1os Como el vino que mejora con los a\u00c3\u00b1os As\u00c3\u00ad crece lo que siento yo por ti"", ""Hay amores que parece que se acaban y florecen Y en las noches del oto\u00c3\u00b1o reverdecen Tal como el amor que siento yo por ti"", ""Yo por ti Por ti Como el amor que siento yo por ti"""
35,dont bother en espanol   ,
36,get it started en espanol   ,
37,cant remember to forget you   ,"""I left a note on my bedpost Said, \""not to repeat yesterday's mistakes\"" What I tend to do when it comes to you I see only the good, selective memory"", ""The way you make me feel, yeah You gotta hold on me I've never met someone so different Oh, here we go You a part of me now, you a part of me So where you go, I follow, follow, follow"", ""Oh-oh-ooh-oh-oh, oh-oh-ooh-oh-oh I can't remember to forget you Oh-oh-ooh-oh-oh, oh-oh-ooh-oh-oh I keep forgetting I should let you go"", ""But when you look at me The only memory is us kissing in the moonlight Oh-oh-ooh-oh-oh, oh-oh-ooh-oh-oh I can't remember to forget you"", ""I can't remember to forget you"", ""I go back again, fall off the train Land in his bed, repeat yesterday's mistakes What I'm trying to say is not to forget You see only the good, selective memory"", ""The way he makes me feel like The way he makes me feel I never seemed to act so stupid Oh, here we go He a part of me now, he a part of me So where he goes, I follow, follow, follow"", ""Oh-oh-ooh-oh-oh, oh-oh-ooh-oh-oh I can't remember to forget you Oh-oh-ooh-oh-oh, oh-oh-ooh-oh-oh I keep forgetting I should let you go"", ""But when you look at me The only memory is us kissing in the moonlight Oh-oh-ooh-oh-oh, oh-oh-ooh-oh-oh I can't remember to forget you"", ""I rob and I kill to keep him with me I do anything for that boy I'd give my last dime to hold him tonight I do anything for that boy"", ""I rob and I kill to keep him with me I do anything for that boy I'd give my last dime to hold him tonight I do anything for that boy"", ""Oh-oh-ooh-oh-oh, oh-oh-ooh-oh-oh I can't remember to forget you Oh-oh-ooh-oh-oh, oh-oh-ooh-oh-oh I keep forgetting I should let you go"", ""But when you look at me The only memory is us kissing in the moonlight Oh-oh-ooh-oh-oh, oh-oh-ooh-oh-oh I can't remember to forget you"", ""But when you look at me The only memory is us kissing in the moonlight Oh-oh-ooh-oh-oh, oh-oh-ooh-oh-oh I can't remember to forget you"""
38,how do you do   ,"""Forgive us our trespasses As we forgive those who have trespassed against us Give us this day our daily bread Daily bread, daily bread"", ""In cello et in terra fiat voluntas tua Gloria Spiritui Sancto"", ""What language do you speak if you speak at all? Are you some kind of freak Who lives to raise the ones who fall? Hey, would you tell me why the cat fights the dog? Do you go to the mosque or the synagogue?"", ""And if our fates have all been wrapped around your finger And if you wrote the script, then why the troublemakers?"", ""How do you do? How does it feel to be so high? And are you happy? Do you ever cry? (I sometimes cry)"", ""You've made mistakes Well, that's okay 'cause we all have But if I forgive yours Will you forgive mine?"", ""Hey, do you feel our pain and walk in our shoes? Have you ever felt starved? Or is your belly always full? How many people die and hurt in your name? Hey, does that make you proud? Or does it bring you shame?"", ""And if our fates have all been wrapped around your finger And if you wrote the script, then why the troublemakers?"", ""How do you do? How does it feel to be so high? And are you happy? Do you ever cry? (I sometimes cry)"", ""You've made mistakes Well, that's okay 'cause we all have But if I forgive yours Will you forgive mine?"", ""Forgive us our trespasses As we forgive those who have trespassed against us Sameh Zoonoobee Allah Give us this day our daily bread Ya Allah (s'lach lanu) (daily bread) Ya Allah (s'lach lanu) (daily bread) Ya Allah"", ""Forgive us our trespasses As we forgive those who have trespassed against us Sameh Zoonoobee Allah Give us this day our daily bread Mechilah (daily bread) Thine is the kingdom, and the power, and the glory Amen!"", ""How do you do? How does it feel to be so high? And are you happy? Do you ever cry? (I sometimes cry)"", ""You've made mistakes Well, that's okay 'cause we all have But if I forgive yours Will you forgive mine? (Will you forgive mine?)"", ""How do you do? How does it feel to be so high? And are you happy? Do you ever cry? (I sometimes cry)"", ""You've made mistakes And that's okay 'cause we all have But if I forgive yours Will you forgive mine?"""
39,devocion en ingles   ,"""No pens\u00c3\u00a9 que me fuera a importar El tono de tu mensaje Me dejaste la sensaci\u00c3\u00b3n De haber sido un peso m\u00c3\u00a1s en tu equipaje"", ""Todav\u00c3\u00ada me aferro a tu amor Como un hierro caliente Me hice tan resistente al dolor Y a la decepci\u00c3\u00b3n \u00c3\u00baltimamente"", ""Creo, creo No en lo que me cuentan, sino s\u00c3\u00b3lo en lo que veo Y por lo que veo, creo que ya te has olvidado de m\u00c3\u00ad"", ""Siento que te pierdo, no hay se\u00c3\u00b1al Al\u00c3\u00b3, al\u00c3\u00b3, \u00c2\u00bfhay alguien ah\u00c3\u00ad? Tanta indiferencia me hace mal Al\u00c3\u00b3, al\u00c3\u00b3, sigo aqu\u00c3\u00ad"", ""No respondo a otro tim\u00c3\u00b3n Que a esta rara devoci\u00c3\u00b3n por ti"", ""El derrumbe de la soledad Te ara\u00c3\u00b1\u00c3\u00b3 en el costado No hubo un sitio mejor para estar Luego del amor, que a tu lado"", ""Creo, creo No en lo que me cuentan, sino s\u00c3\u00b3lo en lo que veo Y por lo que veo, creo que ya te has olvidado de m\u00c3\u00ad"", ""Siento que te pierdo, no hay se\u00c3\u00b1al Al\u00c3\u00b3, al\u00c3\u00b3, \u00c2\u00bfhay alguien ah\u00c3\u00ad? Tanta indiferencia me hace mal Al\u00c3\u00b3, al\u00c3\u00b3, sigo aqu\u00c3\u00ad"", ""No respondo a otro tim\u00c3\u00b3n Que a esta rara devoci\u00c3\u00b3n por ti"", ""No hay salida de incendios Me quema por dentro La distancia entre los dos"", ""Siento que te pierdo, no hay se\u00c3\u00b1al Al\u00c3\u00b3, al\u00c3\u00b3, \u00c2\u00bfhay alguien ah\u00c3\u00ad? Tanta indiferencia me hace mal Al\u00c3\u00b3, al\u00c3\u00b3, sigo aqu\u00c3\u00ad"", ""No respondo a otro tim\u00c3\u00b3n Que a esta rara devoci\u00c3\u00b3n por ti (Al\u00c3\u00b3, al\u00c3\u00b3)"""
40,dia de enero   ,"""Te conoc\u00c3\u00ad un d\u00c3\u00ada de enero, con la luna en mi nariz Y como v\u00c3\u00ad que eras sincero En tus ojos me perd\u00c3\u00ad"", ""Que torpe distracci\u00c3\u00b3n Y que dulce sensaci\u00c3\u00b3n"", ""Y ahora que andamos por el mundo Como Eneas y Benitin Ya te encontre varios rasgu\u00c3\u00b1os Que te hicieron por ah\u00c3\u00ad"", ""Pero mi loco amor Es tu mejor doctor"", ""Voy a curarte el alma en duelo Voy a dejarte como nuevo Y todo va a pasar Pronto ver\u00c3\u00a1s el sol brillar"", ""T\u00c3\u00ba m\u00c3\u00a1s que nadie merecer ser feliz"", ""Ya vas a ver como van sanando Poco a poco tus heridas Ya vas a ver como va La misma vida a decantar la sal que sobra del mar"", ""Y aunque hayas sido un extranjero hasta en tu propio pa\u00c3\u00ads Si yo te digo \u00c2\u00bfqu\u00c3\u00a9 dices tu? Tu a\u00c3\u00ban dices \u00c2\u00bfque dec\u00c3\u00ads? Y lloras de emoci\u00c3\u00b3n oyendo un bandone\u00c3\u00b3n"", ""Y aunque parezcas despistado con ese caminar pausado Conozco la raz\u00c3\u00b3n que hace doler tu coraz\u00c3\u00b3n Por eso quise hacerte esta canci\u00c3\u00b3n"", ""Ya vas a ver como van sanando Poco a poco tus heridas Ya vas a ver como va La misma vida a decantar la sal que sobra del mar"""
41,beautiful liar en espanol   ,"""Ay, Ay, Ay Nobody likes being played Beyonce, Beyonce Shakira, Shakira (hey)"", ""He said I'm worth it, his one desire I know things about 'em that you wouldn't wanna read about He kissed me, his one and only, (yes) beautiful Liar Tell me how you tolerate the things that you just found out about You never know Why are we the ones who suffer I have to let go He won't be the one to cry"", ""(Ay) Let's not kill the Karma (Ay) Let's not start a fight (Ay) It's not worth the drama For a beautiful liar (Oh) let us laugh about it (Oh) It's not worth our time (Oh) We can live without 'em Just a beautiful liar"", ""I trusted him, but when I followed you, I saw you together I didn't know about you then 'till I saw you with him again I walked in on your love scene, slow dancing You stole everything, how can you say I did you wrong"", ""You never know When the pain and heartbreak's over I have to let go The innocence is gone"", ""(Ay) Let's not kill the Karma (Ay) Let's not start a fight (Ay) It's not worth the drama For a beautiful liar (Oh) let us laugh about it (Oh) It's not worth our time (Oh) We can live without 'em Just a beautiful liar"", ""Tell me how to forgive you When it's me who's ashamed And I wish could free you Of the hurt and the pain (Both) But the answer is simple He's the one to blame"", ""(Ay) Let's not kill the Karma (Ay) Let's not start a fight (Ay) It's not worth the drama For a beautiful liar (Oh) let us laugh about it (Oh) It's not worth our time (Oh) We can live without 'em Just a beautiful liar"""
42,lejos de tu amor   ,"""Imaginar, yo tan solo puedo imaginar, Que ya deje de verme ni\u00c3\u00b1a Que llamaras, y me invitaras hoy a cenar, Luego a bailar bajo la luna Pero mil de esos sue\u00c3\u00b1os no hacen realidad, Un abismo en el que llego Se que estoy muy lejos"", ""Imaginar, yo tan solo puedo imaginar, Que tu me has hecho tu princesa Y una vez mas, sentire como me hago un mar, Cubriendote ---(por tras) de arena Pero tanto que te pienso no te hara mirar, Hoy me veo tan perdida Por estar tan lejos..."", ""Lejos de tu amor, lejos de tu corazon, Lejos de tu amor y sin salida, mire Lejos de tu amor, lejos de tu corazon, Lejos de tu amor y sin salida, vuelve Imaginar, yo tan solo puedo imaginar, Que ya deje de verme ni\u00c3\u00b1a Que llamaras, y me invitaras hoy a cenar, Luego a bailar bajo la luna Pero tanto que te pienso no te hara mirar, Hoy me veo tan perdida Por estar tan lejos..."", ""Lejos de tu amor, lejos de tu corazon, Lejos de tu amor y sin salida, mire Lejos de tu amor, lejos de tu corazon, Lejos de tu amor y sin salida, vuelve"", ""Rap"", ""Lejos de tu amor, lejos de tu corazon, Lejos de tu amor y sin salida, mire Lejos de tu amor, lejos de tu corazon, Lejos de tu amor y sin salida, vuelve"""
43,dia de enero en portugues   ,"""Te conoc\u00c3\u00ad un d\u00c3\u00ada de enero Con la luna en mi nariz Y como vi que eras sincero En tus ojos me perd\u00c3\u00ad"", ""Qu\u00c3\u00a9 torpe distracci\u00c3\u00b3n Y qu\u00c3\u00a9 dulce sensaci\u00c3\u00b3n"", ""Y ahora que andamos por el mundo Como Eneas y Benit\u00c3\u00adn Ya te encontr\u00c3\u00a9 varios rasgu\u00c3\u00b1os Que te hicieron por ah\u00c3\u00ad"", ""Pero mi loco amor Es tu mejor doctor"", ""Voy a curarte el alma en duelo Voy a dejarte como nuevo Y todo va a pasar Pronto ver\u00c3\u00a1s el sol brillar"", ""T\u00c3\u00ba, m\u00c3\u00a1s que nadie, mereces ser feliz"", ""Ya vas a ver C\u00c3\u00b3mo van sanando poco a poco tus heridas Ya vas a ver c\u00c3\u00b3mo va la misma vida A decantar la sal que sobra en el mar"", ""Y aunque hayas sido un extranjero hasta en tu propio pa\u00c3\u00ads Si yo te digo: \""\u00c2\u00bfC\u00c3\u00b3mo dices?\"" T\u00c3\u00ba a\u00c3\u00ban dices: \""\u00c2\u00bfQu\u00c3\u00a9 dec\u00c3\u00ads?\"" Y lloras de emoci\u00c3\u00b3n oyendo un bandone\u00c3\u00b3n"", ""Y aunque parezcas despistado Con ese caminar pausado Conozco la raz\u00c3\u00b3n que hace doler tu coraz\u00c3\u00b3n Por eso quise hacerte esta canci\u00c3\u00b3n"", ""Ya vas a ver C\u00c3\u00b3mo van sanando poco a poco tus heridas Ya vas a ver c\u00c3\u00b3mo va la misma vida A decantar la sal que sobra en el mar"", ""Ya vas a ver C\u00c3\u00b3mo van sanando poco a poco tus heridas Ya vas a ver c\u00c3\u00b3mo va la misma vida A decantar la sal que sobra en el mar"""
44,alfonsina y el mar en ingles   ,"""By the white sand that takes the sea her little footprit in the sand don't return anymore a footpath of sadness and silence came until deep water a footpath of silent sorrow came until the foam"", ""only God knows how desperate you were, how many pain lived in you to sleep tight in the chant of conches the song that it sang in the deep sea"", ""you're gone, Alfonsina, with your solitude What poems are you going to find? an old voice of the wind and salt breaks your heart and it's calling you and you go there like if you were dreaming Alfonsina, sea's dressed"", ""five mermaids will drive you by algaes and coralline roads and phosphorecent sea horses will enlace you the sea's habitants are going to play sooner with you get the lamp a Little more let me sleep in peace but if he call my name, don't tell him I'm here tell him that Alfonsina won't return but if he call my name, don't tell him never I'm here say him I'm gone"", ""You're gone, Alfonsina, with your solitude What poems are you going to find? an old voice of the winf and salt breaks your heart and it's calling you now, you're gone, like in dreams Alfonsina, sea's dressed"""
45,knock on my door   ,"""I'm gonna obey all your wishes as if they were orders I'm gonna dye your body in kisses while we're growing older I'll be there to beat your fears in all the three hundred sixty five days a year"", ""so this is what I say"", ""Knock on my door you know I'll be in town come ask for more don't let me down what is off what is on what is left what is gone I'm gonna give it all for you baby you can consider it done"", ""I'm gonna live all my mondays like the sunniest sundays I'm gonna go thru life every moment thinking of you always and again we'll beat our fears there's only three hundred sixty five days a year"", ""so this is what I say"", ""Knock on my door you know I'll be in town come ask for more don't let me down what is off what is on what is left what is gone I'm gonna give it all for you baby you can consider it done"", ""Knock on my door Knock on my door"", ""don't let me down you know I'll be in town"""
46,gitana english   ,"""Nunca us\u00c3\u00a9 un antifaz Voy de paso por este mundo fugaz No pretendo parar Dime, \u00c2\u00bfqui\u00c3\u00a9n camina cuando se puede volar?"", ""Mi destino es andar Mis recuerdos son una estela en el mar Lo que tengo, lo doy Digo lo que pienso, t\u00c3\u00b3mame como soy"", ""Y va liviano Mi coraz\u00c3\u00b3n gitano Que s\u00c3\u00b3lo entiende de latir a contramano No intentes amarrarme Ni dominarme Yo soy quien elige c\u00c3\u00b3mo equivocarme"", ""Aprov\u00c3\u00a9chame Que, si llegu\u00c3\u00a9 ayer, me puedo ir ma\u00c3\u00b1ana Que soy gitana Que soy gitana"", ""Sigo siendo aprendiz En cada beso y con cada cicatriz Algo pude entender De tanto que tropiezo, ya s\u00c3\u00a9 c\u00c3\u00b3mo caer"", ""Y va liviano Mi coraz\u00c3\u00b3n gitano Que s\u00c3\u00b3lo entiende de latir a contramano No intentes amarrarme Ni dominarme Yo soy quien elige c\u00c3\u00b3mo equivocarme"", ""Aprov\u00c3\u00a9chame Que, si llegu\u00c3\u00a9 ayer, me puedo ir ma\u00c3\u00b1ana Que soy gitana"", ""Vamos y vemos Que la vida es un goce Es normal que le temas a lo que no conoces"", ""T\u00c3\u00b3mame y vamos Que la vida es un goce Es normal que le temas a lo que no conoces"", ""Quiero verte volar Quiero verte volar"", ""Y va liviano Mi coraz\u00c3\u00b3n gitano Que s\u00c3\u00b3lo entiende de latir a contramano No intentes amarrarme Ni dominarme Yo soy quien elige c\u00c3\u00b3mo equivocarme"", ""Aprov\u00c3\u00a9chame Que, si llegu\u00c3\u00a9 ayer, me puedo ir ma\u00c3\u00b1ana Que soy gitana"""
47,brujeraa   ,"""Por si este maleficio habla del peligro Mira las llamas rojas del amor en las sombras Nooo Ese es el sonido m\u00c3\u00a1s dulce que conocen mis oidos qu\u00c3\u00a9 hechizo Me lleva hasta tu nombre s\u00c3\u00ad Si no Sacude el interior tus ojos de carbon Cu\u00c3\u00a1l sera el exorcismo d\u00c3\u00admelo ahhhh"", ""Qu\u00c3\u00a9 clase de brujer\u00c3\u00ada domina mi coraz\u00c3\u00b3n Un Halloween de mentiras, mentiras No sigas no Qu\u00c3\u00a9 clase de brujer\u00c3\u00ada encendida en mi raz\u00c3\u00b3n Pero me matas de amor sin salida y que har\u00c3\u00ada yo"", ""Es como un aquelarre por los que se esconde entre mis fantas\u00c3\u00adas en la piel que se anima no No-s\u00c3\u00ad Conoc\u00c3\u00ad a una gitana de unas de gato Las plumas de lechuza y el arbol de un cilantro, s\u00c3\u00ad S\u00c3\u00ad-no Me dice mi emocion que no me niegue hoy trepan de tu escoba y ya se convirt\u00c3\u00ado"", ""Qu\u00c3\u00a9 clase de brujer\u00c3\u00ada domina mi coraz\u00c3\u00b3n Un Halloween de mentiras, mentiras No sigas no Qu\u00c3\u00a9 clase de brujer\u00c3\u00ada encendida en mi raz\u00c3\u00b3n Pero me matas de amor sin salida y que har\u00c3\u00ada yo"""
48,i am here   ,"""I don't know what to say, Everything is wrong, I can't believe that I was so blind, Once again I lost my way, I know that you're gone, All I want is what I strived"", ""I know I hurt you deep inside Maybe you can't forgive the lies"", ""But I can't hide my tears, I don't wanna lose you, I know that in my heart You still feel the same way too"", ""I said so many things before Never stopped to think So please try to understand I know I hurt you deep inside (I know I hurt you deep inside) Maybe you can't forgive the lies"", ""So I am here, all alone I can't let go And the circles of my mind And my head is spinnin' round like I just made the bridges fall I can't go on Without your love I am going crazy Never stopped loving you But the writing's on the wall"", ""I don't wanna cry anymore"", ""The letters that I wrote I could never send I was just a fool you see I know you trusted me I was just so weak Now I am guilty for your pain I know I hurt you deep inside (I know I hurt you deep inside) Maybe you can't forgive the lies"", ""So I am here, all alone I can't let go And the circles of my mind And my head is spinnin' round like I just made the bridges fall I can't go on Without your love I am going crazy Never stopped loving you But the writing's on the wall"", ""So I am here, all alone I can't let go And my head is spinnin' round like I just made the bridges fall I can't go on Without your love I am going crazy Never stopped loving you But the writing's on the wall"", ""If you want me back in your life I shall be here if you wanna try Yeah"", ""So I am here, all alone I can't let go And my head is spinnin' round like I just made the bridges fall I can't go on Without your love I am going crazy Never stopped loving you But the writing's on the wall"", ""So I am here, all alone I can't let go So I am here I cant go on without your love Yeah yeah So I am here, all alone I can't let go I can't go on without your love So I am here So I am here all alone"""
49,loba english   ,"""Sigilosa al pasar Sigilosa al pasar Esa loba es especial M\u00c3\u00adrala caminar, caminar"", ""\u00c2\u00bfQui\u00c3\u00a9n no ha querido a una diosa lic\u00c3\u00a1ntropa En el ardor de una noche rom\u00c3\u00a1ntica? Mis aullidos son el llamado Yo quiero un lobo domesticado"", ""Por fin he encontrado un remedio infalible que borre del todo la culpa No pienso quedarme a tu lado mirando la tele y oyendo disculpas La vida me ha dado un hambre voraz, y t\u00c3\u00ba apenas me das caramelos Me voy con mis piernas y mi juventud por ah\u00c3\u00ad, aunque te maten los celos"", ""Una loba en el armario Tiene ganas de salir Deja que se coma el barrio Antes de irte a dormir"", ""Tengo tacones de aguja magn\u00c3\u00a9tica Para dejar la manada fren\u00c3\u00a9tica La luna llena como una fruta Da consejos y los escucha"", ""Llevo conmigo un radar especial para localizar solteros Si acaso me meto en aprietos, tambi\u00c3\u00a9n llevo el n\u00c3\u00bamero de los bomberos Ni tipos muy lindos, ni divos, ni ni\u00c3\u00b1os ricos, yo s\u00c3\u00a9 lo que quiero Pasarla muy bien y portarme muy mal en los brazos de alg\u00c3\u00ban caballero"", ""Una loba en el armario Tiene ganas de salir Deja que se coma el barrio Antes de irte a dormir"", ""Cuando son casi la una, la loba en celo saluda a la luna Duda si andar por la calle o entrar en un bar a probar fortuna Ya est\u00c3\u00a1 sentada en su mesa y pone la mira en su pr\u00c3\u00b3xima presa Pobre del desprevenido que no se esperaba una de esas"", ""Sigilosa al pasar Sigilosa al pasar Esa loba es especial M\u00c3\u00adrala caminar, caminar"", ""Deja que se coma el barrio Antes de irte a dormir"""
50,illegal en espanol   ,"""Who would have thought that you could hurt me The way you've done it"", ""so deliberate so determined"", ""Since you have been gone I bite my nails for days and hours and question my own questions on and on"", ""Tell me now, tell me now"", ""Why you're so far away When I'm still so close You don't even know the meaning of the words I'm sorry You said you would love me until you die"", ""As far as I know you're still alive Baby You don't even know the meaning of the words I'm sorry"", ""I'm starting to believe it should be illegal to deceive a woman's heart I tried so hard to be attentive To all you wanted, always supportive, always patient"", ""What did I do wrong? I'm wondering for days and hours it's clear, it isn't here where you belong Anyhow, Anyhow"", ""I wish you both all of best I hope you get along"", ""You don't even know the meaning of the words I'm sorry You said you would love me until you die As far as I know you're still alive Baby"", ""You don't even know the meaning of the words I'm sorry I'm starting to believe it should be illegal to deceive the woman's heart You don't even know the meaning of the words I'm sorry You said you would love me until you die As far as I know you're still alive Baby You don't even know the meaning of the words I'm sorry I'm starting to believe it should be illegal to deceive the woman's heart Open heart, open heart It should be illegal to deceive a woman's heart Open heart, open heart It should be illegal to deceive a woman's heart"""
