,count,Hour,Day,Month,Year,atemp,humidity,temp,windspeed,Day_Name,workingday,holiday,season
2015-01-02 15:00:00-05:00,417,15,2,1,2015,6.6,38.0,7.74,7.02,Friday,1,0,1
2015-01-02 16:00:00-05:00,493,16,2,1,2015,7.6,38.0,7.6,4.7,Friday,1,0,1
2015-01-02 17:00:00-05:00,463,17,2,1,2015,6.74,41.0,6.74,3.37,Friday,1,0,1
2015-01-02 18:00:00-05:00,382,18,2,1,2015,5.41,46.0,5.41,0.86,Friday,1,0,1
2015-01-02 19:00:00-05:00,248,19,2,1,2015,3.21,60.0,3.21,1.45,Friday,1,0,1
2015-01-02 20:00:00-05:00,149,20,2,1,2015,2.04,65.0,2.04,1.08,Friday,1,0,1
2015-01-02 21:00:00-05:00,137,21,2,1,2015,1.29,69.0,1.29,0.97,Friday,1,0,1
2015-01-02 22:00:00-05:00,116,22,2,1,2015,0.79,71.0,0.79,1.57,Friday,1,0,1
2015-01-02 23:00:00-05:00,80,23,2,1,2015,0.22,74.0,0.22,1.39,Friday,1,0,1
2015-01-03 00:00:00-05:00,61,0,3,1,2015,-0.09,75.0,-0.09,1.01,Saturday,0,1,1
2015-01-03 01:00:00-05:00,50,1,3,1,2015,-0.47,76.0,-0.47,1.2,Saturday,0,1,1
2015-01-03 02:00:00-05:00,21,2,3,1,2015,-0.51,78.0,-0.51,0.77,Saturday,0,1,1
2015-01-03 03:00:00-05:00,14,3,3,1,2015,0.1,78.0,0.1,1.96,Saturday,0,1,1
2015-01-03 04:00:00-05:00,6,4,3,1,2015,1.45,70.0,1.45,1.69,Saturday,0,1,1
2015-01-03 05:00:00-05:00,2,5,3,1,2015,1.33,61.0,2.72,5.45,Saturday,0,1,1
2015-01-03 06:00:00-05:00,11,6,3,1,2015,1.2,62.0,2.85,6.19,Saturday,0,1,1
2015-01-03 07:00:00-05:00,25,7,3,1,2015,2.97,65.0,2.97,4.42,Saturday,0,1,1
2015-01-03 08:00:00-05:00,40,8,3,1,2015,1.56,74.0,2.72,4.87,Saturday,0,1,1
2015-01-03 09:00:00-05:00,84,9,3,1,2015,1.33,82.0,2.53,4.91,Saturday,0,1,1
2015-01-03 10:00:00-05:00,159,10,3,1,2015,1.35,84.0,2.89,5.89,Saturday,0,1,1
2015-01-03 11:00:00-05:00,133,11,3,1,2015,2.23,84.0,3.37,5.03,Saturday,0,1,1
2015-01-03 12:00:00-05:00,95,12,3,1,2015,1.44,85.0,3.41,7.43,Saturday,0,1,1
2015-01-03 13:00:00-05:00,118,13,3,1,2015,3.58,87.0,3.58,3.87,Saturday,0,1,1
2015-01-03 14:00:00-05:00,144,14,3,1,2015,2.47,88.0,3.73,5.46,Saturday,0,1,1
2015-01-03 15:00:00-05:00,155,15,3,1,2015,3.97,88.0,3.97,3.83,Saturday,0,1,1
2015-01-03 16:00:00-05:00,122,16,3,1,2015,4.02,90.0,4.02,3.56,Saturday,0,1,1
2015-01-03 17:00:00-05:00,104,17,3,1,2015,3.87,91.0,3.87,4.16,Saturday,0,1,1
2015-01-03 18:00:00-05:00,114,18,3,1,2015,2.53,91.0,3.69,5.19,Saturday,0,1,1
2015-01-03 19:00:00-05:00,85,19,3,1,2015,3.78,92.0,3.78,3.99,Saturday,0,1,1
2015-01-03 20:00:00-05:00,51,20,3,1,2015,4.02,92.0,4.02,2.51,Saturday,0,1,1
2015-01-03 21:00:00-05:00,26,21,3,1,2015,4.1,92.0,4.1,4.23,Saturday,0,1,1
2015-01-03 22:00:00-05:00,26,22,3,1,2015,4.21,92.0,4.21,3.17,Saturday,0,1,1
2015-01-03 23:00:00-05:00,57,23,3,1,2015,4.13,93.0,4.13,4.78,Saturday,0,1,1
2015-01-04 00:00:00-05:00,35,0,4,1,2015,4.35,93.0,4.35,2.97,Sunday,0,1,1
2015-01-04 01:00:00-05:00,32,1,4,1,2015,3.21,92.0,4.72,6.64,Sunday,0,1,1
2015-01-04 02:00:00-05:00,29,2,4,1,2015,2.78,93.0,4.97,9.38,Sunday,0,1,1
2015-01-04 03:00:00-05:00,10,3,4,1,2015,3.32,92.0,5.52,9.87,Sunday,0,1,1
2015-01-04 04:00:00-05:00,3,4,4,1,2015,4.24,92.0,6.18,9.28,Sunday,0,1,1
2015-01-04 05:00:00-05:00,4,5,4,1,2015,5.43,92.0,6.64,6.64,Sunday,0,1,1
2015-01-04 06:00:00-05:00,7,6,4,1,2015,6.96,92.0,6.96,4.72,Sunday,0,1,1
2015-01-04 07:00:00-05:00,12,7,4,1,2015,6.26,92.0,7.22,6.08,Sunday,0,1,1
2015-01-04 08:00:00-05:00,43,8,4,1,2015,6.08,93.0,7.71,9.14,Sunday,0,1,1
2015-01-04 09:00:00-05:00,112,9,4,1,2015,6.58,93.0,8.55,11.94,Sunday,0,1,1
2015-01-04 10:00:00-05:00,210,10,4,1,2015,7.14,93.0,9.35,14.86,Sunday,0,1,1
2015-01-04 11:00:00-05:00,258,11,4,1,2015,10.61,91.0,10.61,15.5,Sunday,0,1,1
2015-01-04 12:00:00-05:00,340,12,4,1,2015,12.58,87.0,12.58,16.44,Sunday,0,1,1
2015-01-04 13:00:00-05:00,343,13,4,1,2015,13.65,85.0,13.65,10.97,Sunday,0,1,1
2015-01-04 14:00:00-05:00,376,14,4,1,2015,14.51,83.0,14.51,8.41,Sunday,0,1,1
2015-01-04 15:00:00-05:00,439,15,4,1,2015,16.15,78.0,16.15,12.18,Sunday,0,1,1
2015-01-04 16:00:00-05:00,408,16,4,1,2015,17.09,76.0,17.09,13.83,Sunday,0,1,1
2015-01-04 17:00:00-05:00,335,17,4,1,2015,17.12,76.0,17.12,14.32,Sunday,0,1,1
2015-01-04 18:00:00-05:00,271,18,4,1,2015,17.32,76.0,17.32,15.24,Sunday,0,1,1
2015-01-04 19:00:00-05:00,101,19,4,1,2015,17.63,76.0,17.63,16.5,Sunday,0,1,1
2015-01-04 20:00:00-05:00,101,20,4,1,2015,12.96,84.0,12.96,14.38,Sunday,0,1,1
2015-01-04 21:00:00-05:00,78,21,4,1,2015,12.72,75.0,12.72,15.71,Sunday,0,1,1
2015-01-04 22:00:00-05:00,73,22,4,1,2015,12.4,61.0,12.4,14.12,Sunday,0,1,1
2015-01-04 23:00:00-05:00,38,23,4,1,2015,11.41,52.0,11.41,17.11,Sunday,0,1,1
2015-01-05 00:00:00-05:00,17,0,5,1,2015,7.65,50.0,9.54,12.79,Monday,1,0,1
2015-01-05 01:00:00-05:00,3,1,5,1,2015,5.72,52.0,8.36,16.52,Monday,1,0,1
2015-01-05 02:00:00-05:00,2,2,5,1,2015,4.71,51.0,7.28,14.04,Monday,1,0,1
2015-01-05 03:00:00-05:00,2,3,5,1,2015,3.63,53.0,6.48,14.72,Monday,1,0,1
2015-01-05 04:00:00-05:00,6,4,5,1,2015,2.91,52.0,5.91,14.83,Monday,1,0,1
2015-01-05 05:00:00-05:00,55,5,5,1,2015,3.02,53.0,5.29,10.02,Monday,1,0,1
2015-01-05 06:00:00-05:00,175,6,5,1,2015,2.35,52.0,4.92,11.08,Monday,1,0,1
2015-01-05 07:00:00-05:00,471,7,5,1,2015,2.55,52.0,4.58,8.42,Monday,1,0,1
2015-01-05 08:00:00-05:00,804,8,5,1,2015,1.69,50.0,4.21,10.17,Monday,1,0,1
2015-01-05 09:00:00-05:00,348,9,5,1,2015,1.86,46.0,4.17,9.21,Monday,1,0,1
2015-01-05 10:00:00-05:00,190,10,5,1,2015,0.01,42.0,3.82,16.93,Monday,1,0,1
2015-01-05 11:00:00-05:00,157,11,5,1,2015,-0.43,39.0,3.26,15.28,Monday,1,0,1
2015-01-05 12:00:00-05:00,206,12,5,1,2015,-1.12,32.0,3.02,17.84,Monday,1,0,1
2015-01-05 13:00:00-05:00,217,13,5,1,2015,-0.21,32.0,2.87,11.54,Monday,1,0,1
2015-01-05 14:00:00-05:00,172,14,5,1,2015,-1.73,30.0,2.48,17.46,Monday,1,0,1
2015-01-05 15:00:00-05:00,192,15,5,1,2015,-1.49,27.0,2.4,15.3,Monday,1,0,1
2015-01-05 16:00:00-05:00,366,16,5,1,2015,-2.15,26.0,1.91,15.56,Monday,1,0,1
2015-01-05 17:00:00-05:00,630,17,5,1,2015,-2.34,28.000000000000004,0.86,10.24,Monday,1,0,1
2015-01-05 18:00:00-05:00,528,18,5,1,2015,-2.73,30.0,-0.23,7.22,Monday,1,0,1
2015-01-05 19:00:00-05:00,325,19,5,1,2015,-2.46,32.0,-0.77,5.04,Monday,1,0,1
2015-01-05 20:00:00-05:00,168,20,5,1,2015,-4.53,32.0,-1.19,9.33,Monday,1,0,1
2015-01-05 21:00:00-05:00,102,21,5,1,2015,-4.53,33.0,-1.85,6.97,Monday,1,0,1
2015-01-05 22:00:00-05:00,56,22,5,1,2015,-1.8,33.0,-1.8,4.39,Monday,1,0,1
2015-01-05 23:00:00-05:00,30,23,5,1,2015,-4.43,35.0,-2.47,5.11,Monday,1,0,1
2015-01-06 00:00:00-05:00,12,0,6,1,2015,-5.64,36.0,-2.62,7.57,Tuesday,1,0,1
2015-01-06 01:00:00-05:00,6,1,6,1,2015,-5.43,38.0,-3.03,5.86,Tuesday,1,0,1
2015-01-06 02:00:00-05:00,1,2,6,1,2015,-4.93,37.0,-2.97,4.96,Tuesday,1,0,1
2015-01-06 04:00:00-05:00,1,4,6,1,2015,-3.07,39.0,-3.07,4.03,Tuesday,1,0,1
2015-01-06 05:00:00-05:00,23,5,6,1,2015,-7.73,70.0,-4.66,6.81,Tuesday,1,0,1
2015-01-06 06:00:00-05:00,58,6,6,1,2015,-5.32,83.0,-5.32,4.7,Tuesday,1,0,1
2015-01-06 07:00:00-05:00,104,7,6,1,2015,-8.37,84.0,-5.39,6.35,Tuesday,1,0,1
2015-01-06 08:00:00-05:00,145,8,6,1,2015,-7.9,86.0,-5.47,5.24,Tuesday,1,0,1
2015-01-06 09:00:00-05:00,79,9,6,1,2015,-7.64,87.0,-5.24,5.23,Tuesday,1,0,1
2015-01-06 10:00:00-05:00,43,10,6,1,2015,-7.1,87.0,-4.86,5.03,Tuesday,1,0,1
2015-01-06 11:00:00-05:00,59,11,6,1,2015,-6.55,85.0,-4.19,5.43,Tuesday,1,0,1
2015-01-06 12:00:00-05:00,65,12,6,1,2015,-6.0,81.0,-3.54,5.85,Tuesday,1,0,1
2015-01-06 13:00:00-05:00,73,13,6,1,2015,-2.52,76.0,-2.52,3.11,Tuesday,1,0,1
2015-01-06 14:00:00-05:00,74,14,6,1,2015,-2.27,75.0,-2.27,2.98,Tuesday,1,0,1
2015-01-06 15:00:00-05:00,98,15,6,1,2015,-3.62,73.0,-1.84,4.92,Tuesday,1,0,1
2015-01-06 16:00:00-05:00,174,16,6,1,2015,-1.21,69.0,-1.21,3.59,Tuesday,1,0,1
2015-01-06 17:00:00-05:00,304,17,6,1,2015,-1.66,70.0,-1.66,4.39,Tuesday,1,0,1
2015-01-06 18:00:00-05:00,275,18,6,1,2015,-2.24,71.0,-2.24,3.7,Tuesday,1,0,1
2015-01-06 19:00:00-05:00,199,19,6,1,2015,-3.93,79.0,-3.93,1.89,Tuesday,1,0,1
2015-01-06 20:00:00-05:00,128,20,6,1,2015,-4.15,78.0,-4.15,2.95,Tuesday,1,0,1
2015-01-06 21:00:00-05:00,65,21,6,1,2015,-6.19,66.0,-3.49,6.38,Tuesday,1,0,1
2015-01-06 22:00:00-05:00,50,22,6,1,2015,-5.64,60.0,-2.96,6.53,Tuesday,1,0,1
2015-01-06 23:00:00-05:00,24,23,6,1,2015,-6.04,64.0,-3.77,5.36,Tuesday,1,0,1
2015-01-07 00:00:00-05:00,8,0,7,1,2015,-3.91,66.0,-3.91,3.97,Wednesday,1,0,1
2015-01-07 01:00:00-05:00,6,1,7,1,2015,-3.96,65.0,-3.96,3.38,Wednesday,1,0,1
2015-01-07 02:00:00-05:00,1,2,7,1,2015,-5.42,76.0,-5.42,2.84,Wednesday,1,0,1
2015-01-07 04:00:00-05:00,4,4,7,1,2015,-6.25,82.0,-6.25,1.38,Wednesday,1,0,1
2015-01-07 05:00:00-05:00,31,5,7,1,2015,-4.9,80.0,-4.9,2.47,Wednesday,1,0,1
2015-01-07 06:00:00-05:00,85,6,7,1,2015,-6.75,79.0,-4.55,5.03,Wednesday,1,0,1
2015-01-07 07:00:00-05:00,226,7,7,1,2015,-8.68,69.0,-3.8,13.21,Wednesday,1,0,1
2015-01-07 08:00:00-05:00,428,8,7,1,2015,-8.38,54.0,-3.95,11.27,Wednesday,1,0,1
2015-01-07 09:00:00-05:00,270,9,7,1,2015,-9.74,55.00000000000001,-4.45,14.35,Wednesday,1,0,1
2015-01-07 10:00:00-05:00,99,10,7,1,2015,-10.1,46.0,-4.49,15.81,Wednesday,1,0,1
2015-01-07 11:00:00-05:00,108,11,7,1,2015,-10.62,49.0,-4.48,18.52,Wednesday,1,0,1
2015-01-07 12:00:00-05:00,109,12,7,1,2015,-10.69,49.0,-4.48,18.93,Wednesday,1,0,1
2015-01-07 13:00:00-05:00,107,13,7,1,2015,-11.48,47.0,-4.86,20.75,Wednesday,1,0,1
2015-01-07 14:00:00-05:00,102,14,7,1,2015,-12.08,44.0,-5.19,21.87,Wednesday,1,0,1
2015-01-07 15:00:00-05:00,127,15,7,1,2015,-12.76,45.0,-5.9,20.55,Wednesday,1,0,1
2015-01-07 16:00:00-05:00,191,16,7,1,2015,-12.3,41.0,-6.03,17.17,Wednesday,1,0,1
2015-01-07 17:00:00-05:00,358,17,7,1,2015,-13.37,45.0,-6.78,17.9,Wednesday,1,0,1
2015-01-07 18:00:00-05:00,336,18,7,1,2015,-13.66,48.0,-7.16,16.96,Wednesday,1,0,1
2015-01-07 19:00:00-05:00,171,19,7,1,2015,-14.47,48.0,-7.68,17.74,Wednesday,1,0,1
2015-01-07 20:00:00-05:00,114,20,7,1,2015,-15.37,38.0,-8.24,18.75,Wednesday,1,0,1
2015-01-07 21:00:00-05:00,83,21,7,1,2015,-16.55,33.0,-8.76,21.47,Wednesday,1,0,1
2015-01-07 22:00:00-05:00,56,22,7,1,2015,-17.24,33.0,-9.3,21.53,Wednesday,1,0,1
2015-01-07 23:00:00-05:00,15,23,7,1,2015,-17.25,36.0,-9.83,18.14,Wednesday,1,0,1
2015-01-08 00:00:00-05:00,9,0,8,1,2015,-17.96,40.0,-11.01,14.98,Thursday,1,0,1
2015-01-08 01:00:00-05:00,5,1,8,1,2015,-17.3,46.0,-11.42,11.07,Thursday,1,0,1
2015-01-08 02:00:00-05:00,1,2,8,1,2015,-17.39,49.0,-11.7,10.31,Thursday,1,0,1
2015-01-08 03:00:00-05:00,3,3,8,1,2015,-17.75,48.0,-11.91,10.66,Thursday,1,0,1
2015-01-08 05:00:00-05:00,22,5,8,1,2015,-18.29,48.0,-12.23,11.06,Thursday,1,0,1
2015-01-08 06:00:00-05:00,50,6,8,1,2015,-15.44,48.0,-12.33,4.83,Thursday,1,0,1
2015-01-08 07:00:00-05:00,204,7,8,1,2015,-15.85,48.0,-12.51,5.15,Thursday,1,0,1
2015-01-08 08:00:00-05:00,425,8,8,1,2015,-12.41,50.0,-12.41,2.6,Thursday,1,0,1
2015-01-08 09:00:00-05:00,246,9,8,1,2015,-16.71,48.0,-11.51,9.11,Thursday,1,0,1
2015-01-08 10:00:00-05:00,100,10,8,1,2015,-15.75,45.0,-10.32,10.37,Thursday,1,0,1
2015-01-08 11:00:00-05:00,90,11,8,1,2015,-15.05,45.0,-9.56,11.02,Thursday,1,0,1
2015-01-08 12:00:00-05:00,100,12,8,1,2015,-11.93,39.0,-8.43,6.47,Thursday,1,0,1
2015-01-08 13:00:00-05:00,122,13,8,1,2015,-12.08,38.0,-7.44,9.73,Thursday,1,0,1
2015-01-08 14:00:00-05:00,90,14,8,1,2015,-10.87,36.0,-6.86,8.25,Thursday,1,0,1
2015-01-08 15:00:00-05:00,109,15,8,1,2015,-9.43,36.0,-6.21,6.61,Thursday,1,0,1
2015-01-08 16:00:00-05:00,172,16,8,1,2015,-9.02,34.0,-5.71,7.0,Thursday,1,0,1
2015-01-08 17:00:00-05:00,360,17,8,1,2015,-5.95,33.0,-5.95,1.97,Thursday,1,0,1
2015-01-08 18:00:00-05:00,355,18,8,1,2015,-7.04,39.0,-7.04,1.33,Thursday,1,0,1
2015-01-08 19:00:00-05:00,180,19,8,1,2015,-6.92,40.0,-6.92,2.38,Thursday,1,0,1
2015-01-08 20:00:00-05:00,129,20,8,1,2015,-8.4,36.0,-5.91,5.24,Thursday,1,0,1
2015-01-08 21:00:00-05:00,99,21,8,1,2015,-8.36,37.0,-5.35,6.46,Thursday,1,0,1
2015-01-08 22:00:00-05:00,54,22,8,1,2015,-8.56,36.0,-4.9,8.22,Thursday,1,0,1
2015-01-08 23:00:00-05:00,27,23,8,1,2015,-8.58,35.0,-4.81,8.6,Thursday,1,0,1
2015-01-09 00:00:00-05:00,7,0,9,1,2015,-10.33,36.0,-4.32,18.08,Friday,1,0,1
2015-01-09 01:00:00-05:00,7,1,9,1,2015,-10.14,36.0,-4.01,19.16,Friday,1,0,1
2015-01-09 02:00:00-05:00,7,2,9,1,2015,-9.76,35.0,-3.79,18.63,Friday,1,0,1
2015-01-09 04:00:00-05:00,3,4,9,1,2015,-9.5,36.0,-3.32,20.59,Friday,1,0,1
2015-01-09 05:00:00-05:00,22,5,9,1,2015,-9.12,37.0,-3.25,18.83,Friday,1,0,1
2015-01-09 06:00:00-05:00,72,6,9,1,2015,-8.71,37.0,-3.09,17.62,Friday,1,0,1
2015-01-09 07:00:00-05:00,261,7,9,1,2015,-7.31,38.0,-2.69,13.15,Friday,1,0,1
2015-01-09 08:00:00-05:00,534,8,9,1,2015,-4.43,39.0,-2.34,5.41,Friday,1,0,1
2015-01-09 09:00:00-05:00,343,9,9,1,2015,-1.78,37.0,-1.78,3.68,Friday,1,0,1
2015-01-09 10:00:00-05:00,148,10,9,1,2015,-3.1,35.0,-0.62,6.99,Friday,1,0,1
2015-01-09 11:00:00-05:00,159,11,9,1,2015,-2.15,32.0,0.44,7.84,Friday,1,0,1
2015-01-09 12:00:00-05:00,213,12,9,1,2015,-0.48,31.0,1.76,7.43,Friday,1,0,1
2015-01-09 13:00:00-05:00,198,13,9,1,2015,-0.42,30.0,2.66,11.32,Friday,1,0,1
2015-01-09 14:00:00-05:00,159,14,9,1,2015,-0.3,31.0,3.2,14.12,Friday,1,0,1
2015-01-09 15:00:00-05:00,221,15,9,1,2015,-0.11,32.0,3.31,13.81,Friday,1,0,1
2015-01-09 16:00:00-05:00,295,16,9,1,2015,-1.21,32.0,2.77,16.37,Friday,1,0,1
2015-01-09 17:00:00-05:00,551,17,9,1,2015,-2.2,33.0,1.59,13.74,Friday,1,0,1
2015-01-09 18:00:00-05:00,401,18,9,1,2015,-2.85,35.0,0.74,11.83,Friday,1,0,1
2015-01-09 19:00:00-05:00,233,19,9,1,2015,-3.68,39.0,-0.15,10.78,Friday,1,0,1
2015-01-09 20:00:00-05:00,162,20,9,1,2015,-4.85,43.0,-0.85,12.13,Friday,1,0,1
2015-01-09 21:00:00-05:00,95,21,9,1,2015,-4.69,43.0,-1.43,8.89,Friday,1,0,1
2015-01-09 22:00:00-05:00,83,22,9,1,2015,-5.78,44.0,-1.94,10.62,Friday,1,0,1
2015-01-09 23:00:00-05:00,40,23,9,1,2015,-6.93,44.0,-2.43,12.86,Friday,1,0,1
2015-01-10 00:00:00-05:00,50,0,10,1,2015,-7.9,45.0,-2.95,14.38,Saturday,0,1,1
2015-01-10 01:00:00-05:00,34,1,10,1,2015,-9.0,43.0,-3.66,15.43,Saturday,0,1,1
2015-01-10 02:00:00-05:00,13,2,10,1,2015,-10.66,36.0,-4.8,16.63,Saturday,0,1,1
2015-01-10 03:00:00-05:00,7,3,10,1,2015,-11.18,37.0,-5.5,15.03,Saturday,0,1,1
2015-01-10 05:00:00-05:00,4,5,10,1,2015,-12.25,43.0,-6.62,13.73,Saturday,0,1,1
2015-01-10 06:00:00-05:00,9,6,10,1,2015,-12.94,44.0,-7.23,13.49,Saturday,0,1,1
2015-01-10 07:00:00-05:00,28,7,10,1,2015,-13.27,43.0,-7.84,11.97,Saturday,0,1,1
2015-01-10 08:00:00-05:00,96,8,10,1,2015,-14.56,43.0,-8.36,14.44,Saturday,0,1,1
2015-01-10 09:00:00-05:00,159,9,10,1,2015,-14.11,40.0,-8.12,13.83,Saturday,0,1,1
2015-01-10 10:00:00-05:00,157,10,10,1,2015,-13.59,37.0,-7.65,14.01,Saturday,0,1,1
2015-01-10 11:00:00-05:00,196,11,10,1,2015,-11.64,35.0,-6.69,11.14,Saturday,0,1,1
2015-01-10 12:00:00-05:00,218,12,10,1,2015,-10.71,33.0,-5.76,11.82,Saturday,0,1,1
2015-01-10 13:00:00-05:00,195,13,10,1,2015,-9.52,31.0,-4.91,11.21,Saturday,0,1,1
2015-01-10 14:00:00-05:00,220,14,10,1,2015,-8.66,28.999999999999996,-3.97,12.27,Saturday,0,1,1
2015-01-10 15:00:00-05:00,240,15,10,1,2015,-7.4,28.000000000000004,-3.3,10.58,Saturday,0,1,1
2015-01-10 16:00:00-05:00,232,16,10,1,2015,-5.24,28.000000000000004,-2.82,5.98,Saturday,0,1,1
2015-01-10 17:00:00-05:00,195,17,10,1,2015,-3.22,30.0,-3.22,2.19,Saturday,0,1,1
2015-01-10 18:00:00-05:00,178,18,10,1,2015,-4.2,35.0,-4.2,2.1,Saturday,0,1,1
2015-01-10 19:00:00-05:00,132,19,10,1,2015,-5.5,46.0,-5.5,0.98,Saturday,0,1,1
2015-01-10 20:00:00-05:00,114,20,10,1,2015,-6.39,52.0,-6.39,1.07,Saturday,0,1,1
2015-01-10 21:00:00-05:00,68,21,10,1,2015,-7.04,56.00000000000001,-7.04,1.64,Saturday,0,1,1
2015-01-10 22:00:00-05:00,68,22,10,1,2015,-7.28,59.0,-7.28,1.42,Saturday,0,1,1
2015-01-10 23:00:00-05:00,60,23,10,1,2015,-8.6,66.0,-8.6,0.57,Saturday,0,1,1
2015-01-11 00:00:00-05:00,57,0,11,1,2015,-9.35,67.0,-9.35,0.0,Sunday,0,1,1
2015-01-11 01:00:00-05:00,48,1,11,1,2015,-9.86,71.0,-9.86,0.08,Sunday,0,1,1
2015-01-11 02:00:00-05:00,24,2,11,1,2015,-10.21,73.0,-10.21,0.01,Sunday,0,1,1
2015-01-11 03:00:00-05:00,6,3,11,1,2015,-10.0,74.0,-10.0,0.05,Sunday,0,1,1
2015-01-11 04:00:00-05:00,2,4,11,1,2015,-9.7,69.0,-9.7,0.08,Sunday,0,1,1
2015-01-11 05:00:00-05:00,5,5,11,1,2015,-10.46,73.0,-10.46,0.0,Sunday,0,1,1
2015-01-11 06:00:00-05:00,2,6,11,1,2015,-10.09,76.0,-10.09,0.03,Sunday,0,1,1
2015-01-11 07:00:00-05:00,25,7,11,1,2015,-10.11,75.0,-10.11,0.03,Sunday,0,1,1
2015-01-11 08:00:00-05:00,80,8,11,1,2015,-9.49,76.0,-9.49,0.0,Sunday,0,1,1
2015-01-11 09:00:00-05:00,123,9,11,1,2015,-5.39,69.0,-5.39,0.54,Sunday,0,1,1
2015-01-11 10:00:00-05:00,183,10,11,1,2015,-2.93,57.99999999999999,-2.93,4.0,Sunday,0,1,1
2015-01-11 11:00:00-05:00,305,11,11,1,2015,-1.04,49.0,-1.04,4.26,Sunday,0,1,1
